locked_sample_version,event_id,source_video_id,video_id,transcript_id,creator,channel_id,ticker,company_name,recommendation_type,event_date,effective_trading_event_date,transcript_source,extraction_source_file,event_return_source_file,in_final_event_study,in_sec_clean_analysis,in_low_lookahead_analysis,in_duplicate_collapsed_analysis,in_factor_analysis,in_free_news_scaffold,notes
locked_artifact_sample_v1_2026-05-16,12,kSzohaLWEDc,kSzohaLWEDc,kSzohaLWEDc,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,MSFT,Amazon,buy,2025-07-30,2025-07-30,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,13,kSzohaLWEDc,kSzohaLWEDc,kSzohaLWEDc,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,GOOGL,Netflix,buy,2025-07-30,2025-07-30,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,14,kh-qIeu-wEA,kh-qIeu-wEA,kh-qIeu-wEA,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,AMD,Nvidia,buy,2025-09-21,2025-09-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,15,kh-qIeu-wEA,kh-qIeu-wEA,kh-qIeu-wEA,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Tesla,sell,2025-09-21,2025-09-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,16,ktwqd2fBQUc,ktwqd2fBQUc,ktwqd2fBQUc,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,META,Alphabet,buy,2026-05-01,2026-05-01,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,recent_intraday_diagnostic_available
locked_artifact_sample_v1_2026-05-16,17,l1EhVSTa1ok,l1EhVSTa1ok,l1EhVSTa1ok,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Tesla,buy,2025-05-29,2025-05-29,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,18,l7-j07teo3M,l7-j07teo3M,l7-j07teo3M,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,AAPL,Tesla,buy,2025-06-05,2025-06-05,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,19,l7-j07teo3M,l7-j07teo3M,l7-j07teo3M,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,DIS,Apple,buy,2025-06-05,2025-06-05,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,20,l7-j07teo3M,l7-j07teo3M,l7-j07teo3M,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,PYPL,Amazon,buy,2025-06-05,2025-06-05,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,21,lS5d1IXawe8,lS5d1IXawe8,lS5d1IXawe8,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,AMD,Nvidia,buy,2025-08-11,2025-08-11,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,22,TZKPxgRqJgg,TZKPxgRqJgg,TZKPxgRqJgg,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2025-10-03,2025-10-03,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,23,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Disney,buy,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,24,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,,sell,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,25,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Microsoft,sell,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,26,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Apple,buy,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,27,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UCgCh-2AfEBtWrNBC2OoNQYg,TSLA,Apple,buy,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,28,TfBPPX3bUrE,TfBPPX3bUrE,TfBPPX3bUrE,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,AMZN,Nvidia,buy,2025-04-22,2025-04-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,29,TjFsAeG7rLM,TjFsAeG7rLM,TjFsAeG7rLM,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Netflix,buy,2025-08-17,2025-08-18,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,30,ToNE55pOgLY,ToNE55pOgLY,ToNE55pOgLY,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Microsoft,buy,2025-12-28,2025-12-29,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,31,U4QOkflbLNM,U4QOkflbLNM,U4QOkflbLNM,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,AMD,Netflix,buy,2026-01-07,2026-01-07,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,32,V2n8fGThJas,V2n8fGThJas,V2n8fGThJas,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Netflix,buy,2025-07-25,2025-07-25,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,33,VLGOO8yqgzs,VLGOO8yqgzs,VLGOO8yqgzs,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Microsoft,buy,2025-11-22,2025-11-24,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,34,VLGOO8yqgzs,VLGOO8yqgzs,VLGOO8yqgzs,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Apple,buy,2025-11-22,2025-11-24,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,35,VLGOO8yqgzs,VLGOO8yqgzs,VLGOO8yqgzs,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,MSFT,Apple,buy,2025-11-22,2025-11-24,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,36,VM6-KSk5TYE,VM6-KSk5TYE,VM6-KSk5TYE,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,PYPL,Apple,buy,2025-09-17,2025-09-17,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,37,VM6-KSk5TYE,VM6-KSk5TYE,VM6-KSk5TYE,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,META,Apple,buy,2025-09-17,2025-09-17,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,38,ViHbN8sqowE,ViHbN8sqowE,ViHbN8sqowE,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,GOOGL,Apple,sell,2025-06-22,2025-06-23,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
