event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,is_event
13,NFLX,NFLX,The Investor Channel,2023-06-16,2023.0,buy,False,0.62,high,3.0,True,959,-0.026485833452140173,0.002392194862725683,0.20833558926354923,0.29222664294975487,0.24539803522252157,0.026533314307374448,-0.04120774939652083,-0.1298476949393308,,0.011531418067454724,,0.006343228090923914,-0.018837021474056526,0.013379990269726071,-0.037086707268695784,0.06981798981961695,0.018338203791673918,0.1056347767294632,-0.10000235792876988,0.022266165385258864,-0.08695250933186105,0.0,-0.0188370214740565,0.0698179898196169,-0.1000023579287698,False,False,True,False,True,False,False,True,False,True
14,NVDA,NVDA,The Investor Channel,2023-06-16,2023.0,sell,True,0.47,medium,2.0,False,959,0.004320469611859168,0.07512580318931183,0.35253480408594284,0.528689245560553,1.3024921476695595,0.05611793682198049,-0.0656210741019182,-0.07153209005897576,,0.03132899126709454,,0.02614080129056373,-0.030002929179727467,0.02387674023691938,-0.048252614974366725,0.06689588291705628,0.02206180164083209,0.10271266982690253,0.016876618243418795,0.025348863036439476,0.029926466840327626,0.0,-0.0300029291797274,0.0668958829170562,0.0168766182434187,False,False,True,False,False,True,False,False,True,True
15,TSLA,TSLA,The Investor Channel,2023-06-16,2023.0,sell,True,0.62,high,3.0,True,959,0.02153831122205563,0.04000431200965515,0.4362775863126165,0.3153645755868053,0.5479139294387407,0.01924926554571101,-0.031609050537640626,0.07100176125210989,,0.05857731719654857,,0.05338912722001776,-0.056556504632746196,0.04942721944826273,-0.07480619042738545,0.08209217222571952,0.03159224622392338,0.11790895913556576,0.005143097127040308,0.03416527817838033,0.01819294572394914,0.0,-0.0565565046327461,0.0820921722257195,0.0051430971270403,False,False,True,False,False,True,False,False,True,True
16,GOOGL,GOOGL,"Mark Roussin, CPA",2024-01-08,2024.0,buy,False,0.67,high,3.0,True,1099,0.008637221547024954,-0.0045912216279576645,0.019976648664530527,-0.10022449029491787,0.10460103133988063,0.015550073896342644,-0.04091294919198818,-0.2399742152655595,,0.016714584931249554,,0.01519752325659085,0.025593969194386057,0.00712214958711619,0.026289302893445665,-0.0012582562866898517,0.01965213841801347,0.0482571144928694,0.03029074259586295,0.01787711398131392,0.12791720608202328,0.0,0.025593969194386,-0.0012582562866898,0.0302907425958629,False,False,True,False,False,True,False,False,True,True
17,TSLA,TSLA,"Mark Roussin, CPA",2024-01-08,2024.0,buy,True,0.67,high,3.0,True,1099,-0.0018122435525111946,-0.03082279541903543,-0.0433469315153483,-0.18645641050133444,-0.1958264794925687,0.02119968430764796,-0.09160800460751928,-0.17454467966216058,,-0.021315087645587427,,-0.02283214932024613,-0.08611847176029286,0.01721734866142018,-0.08542313806123325,-0.26939474606841807,0.03173619822397406,-0.2198793752888588,-0.36200572267622544,0.030315329708434632,-0.2643792591900651,0.0,-0.0861184717602928,-0.269394746068418,-0.3620057226762254,False,False,True,False,False,True,False,True,True,True
18,TSLA,TSLA,"Mark Roussin, CPA",2023-08-18,2023.0,buy,True,0.62,high,3.0,True,1002,-0.017496219156728166,-0.09139886129368835,-0.14565820517826944,0.17315241588571006,-0.010615028436879115,0.02740727748934048,-0.19910054467968108,0.10139778473225358,,0.06676874077526662,,0.073274828918382,0.09924793533053178,0.03762771427230519,0.10719750455182653,0.21891207733623874,0.038036680726448016,0.23671628941720968,0.0489015943626081,0.034333870842660937,0.08399457229259166,0.0,0.0992479353305317,0.2189120773362387,0.0489015943626081,False,False,True,False,False,True,False,False,True,True
19,AAPL,AAPL,"Mark Roussin, CPA",2023-08-18,2023.0,buy,True,0.62,high,3.0,True,1002,0.002334685560964722,0.001970531379392737,-0.060618814769903606,-0.04691560614019352,0.061108625710593945,0.012404196802542258,-0.11308243371901283,0.16403061153855547,,0.0012308127715265904,,0.007736900914641964,0.0156621074074359,0.01825533758486325,0.02361167662873065,0.008443903262071561,0.016505783522930112,0.0262481153430425,0.053565110894587376,0.013309028955218502,0.08865808882457094,0.0,0.0156621074074359,0.0084439032620715,0.0535651108945873,False,True,False,False,True,False,False,True,False,True
20,AMZN,AMZN,The Investor Channel,2023-03-03,2023.0,buy,True,0.62,high,3.0,True,886,0.014028259870626059,-0.004729940578041658,-0.08138912973265955,-0.012979736650639118,-0.28311743129794686,0.028669063827399702,-0.184040436938404,-0.20803806806512537,,-0.012810807724342066,,-0.012118034851298809,0.001285221087963806,0.009456201733272308,-0.04394097051524459,0.05853068642488313,0.01790103809037129,0.0791359537985099,0.24652221460687773,0.019942089701897737,0.309272897810412,0.0,0.0012852210879638,0.0585306864248831,0.2465222146068777,False,True,False,False,True,False,False,True,False,True
21,NVDA,NVDA,Jose Najarro Stocks,2025-08-27,2025.0,buy,True,0.62,high,3.0,True,1509,-0.003213738581973713,0.02199583544208994,0.01680072626773299,0.24370588257286752,0.28941534741673025,0.01464265933349404,-0.04466045676156449,0.042387720086180414,,-0.011415915036048996,,-0.00787445711365986,-0.05858645906353832,0.015578332255304094,-0.054735632840757775,-0.045050853594938434,0.020832598760779652,-0.018722183377929524,-0.06755843830069552,0.023795995142424742,-0.02075977195412193,0.0,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955,False,False,True,False,False,True,False,True,True,True
22,NVDA,NVDA,Jose Najarro Stocks,2025-08-27,2025.0,buy,True,0.62,high,3.0,True,1509,-0.003213738581973713,0.02199583544208994,0.01680072626773299,0.24370588257286752,0.28941534741673025,0.01464265933349404,-0.04466045676156449,0.042387720086180414,,-0.011415915036048996,,-0.00787445711365986,-0.05858645906353832,0.015578332255304094,-0.054735632840757775,-0.045050853594938434,0.020832598760779652,-0.018722183377929524,-0.06755843830069552,0.023795995142424742,-0.02075977195412193,0.0,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955,False,False,True,False,False,True,False,True,True,True
23,DIS,DIS,The Investor Channel,2023-10-06,2023.0,buy,False,0.62,high,3.0,True,1036,0.01448536862449834,0.018500092049614558,0.06042550252067247,-0.038998171433187956,-0.22769928809879825,0.014497698987467274,-0.07314795069614988,0.03720675950047814,,0.014817902744106437,,0.021220141918920188,0.012437086139475806,0.010499362369600486,0.01700019790991325,-0.0012961948501992726,0.014177373639702454,0.013021380108114267,-0.0019752844582083817,0.015344561317668528,0.10740746110957233,0.0,0.0124370861394758,-0.0012961948501992,-0.0019752844582083,False,False,True,False,False,True,False,False,True,True
24,AMD,AMD,The Investor Channel,2023-10-06,2023.0,sell,True,0.62,high,3.0,True,1036,0.030202790199971075,0.03816893120634379,0.037108290681117206,-0.036248067181604005,0.10237927689736326,0.024562841133551543,-0.10908922198379134,0.0146278011251193,,-0.008919925191642974,,-0.0025176860168292237,-0.024611615768079464,0.019442133294425807,-0.02004850399764202,0.027737649081877702,0.03115912380355489,0.04205522404019124,0.2537279928479219,0.027752212146845683,0.3631107384157026,0.0,-0.0246116157680794,0.0277376490818777,0.2537279928479219,False,True,False,False,True,False,False,True,False,True
25,MSFT,MSFT,The Investor Channel,2023-10-06,2023.0,sell,False,0.62,high,3.0,True,1036,0.01286413122132024,0.03163413419506589,0.022977440555311812,0.007887476309068053,0.06977733586670065,0.014378700382255537,-0.07841751547714726,-0.19937581994418874,,0.0014204334778926686,,0.00782267265270642,-0.003126990736297186,0.009377170220840733,0.0014361210341402586,0.07512218765826506,0.014687355030949064,0.0894397626165786,0.03787179574082611,0.012130137812186042,0.14725454130860682,0.0,-0.0031269907362971,0.075122187658265,0.0378717957408261,False,False,True,False,False,True,False,True,True,True
26,AAPL,AAPL,The Investor Channel,2023-10-06,2023.0,buy,True,0.62,high,3.0,True,1036,0.0028776532474101835,0.031861385337350834,0.03061592804229263,-0.03811517841395684,0.023518636675148974,0.012657446919734324,-0.04978841165604053,-0.2552327365953193,,0.0020489562511147863,,0.008451195425928537,0.0030993425602778846,0.008133384126039677,0.007662454330715329,-0.004514289250955095,0.011534460257038325,0.009803285707358445,-0.0625379667683057,0.011126527878969351,0.04684477879947502,0.0,0.0030993425602778,-0.004514289250955,-0.0625379667683057,False,True,False,False,True,False,False,True,False,True
