strategy,holding_days,cost_bps,trade_count,average_trade_return,median_trade_return,cumulative_return,cagr_proxy,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,skew,breakeven_transaction_cost_bps,turnover_trades,top5_event_share,status
long_non_top_buys,5,50,802,-0.008480,-0.009611,-0.999676,-0.396397,0.385811,-1.108,-1.764,-0.999707,0.4202,0.226963,7.60,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,5,100,802,-0.018480,-0.019611,-1.000000,-0.638425,0.385811,-2.414,-3.548,-1.000000,0.3317,0.226963,7.60,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,0,802,-0.001520,-0.000389,-0.911599,-0.141397,0.385811,-0.199,-0.311,-0.983223,0.4938,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,5,802,-0.002520,-0.001389,-0.960519,-0.183807,0.385811,-0.329,-0.512,-0.991588,0.4875,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,10,802,-0.003520,-0.002389,-0.982382,-0.224162,0.385811,-0.460,-0.709,-0.995911,0.4838,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,25,802,-0.006520,-0.005389,-0.998442,-0.333850,0.385811,-0.852,-1.281,-0.999532,0.4551,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,50,802,-0.011520,-0.010389,-0.999973,-0.483831,0.385811,-1.505,-2.176,-0.999988,0.4052,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,100,802,-0.021520,-0.020389,-1.000000,-0.691305,0.385811,-2.811,-3.792,-1.000000,0.3192,-0.226963,0.00,1604,0.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,0,315,0.011175,0.007309,18.514119,0.608629,0.420247,1.340,2.732,-0.566016,0.5556,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,5,315,0.010175,0.006309,13.273726,0.530122,0.420247,1.220,2.461,-0.579221,0.5492,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,10,315,0.009175,0.005309,9.437353,0.455373,0.420247,1.100,2.196,-0.592136,0.5302,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,25,315,0.006175,0.002309,3.073186,0.251957,0.420247,0.741,1.432,-0.630579,0.5143,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,50,315,0.001175,-0.002691,-0.156458,-0.026856,0.420247,0.141,0.259,-0.810540,0.4762,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,5,100,315,-0.008825,-0.012691,-0.964675,-0.414277,0.420247,-1.058,-1.772,-0.988472,0.4063,0.639703,55.88,630,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,0,949,0.006612,0.002043,33.600493,0.207087,0.540584,0.616,1.125,-0.990094,0.5195,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,5,949,0.005612,0.001043,12.399324,0.147778,0.540584,0.523,0.948,-0.990894,0.5111,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,10,949,0.004612,0.000043,4.184045,0.091327,0.540584,0.430,0.774,-0.992039,0.5005,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,25,949,0.001612,-0.002957,-0.701510,-0.062191,0.540584,0.150,0.265,-0.996206,0.4858,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,50,949,-0.003388,-0.007957,-0.997486,-0.272329,0.540584,-0.316,-0.537,-0.999907,0.4489,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,5,100,949,-0.013388,-0.017957,-1.000000,-0.563596,0.540584,-1.248,-1.990,-1.000000,0.3994,0.282273,33.06,1898,1.0000,diagnostic_event_trade_sequence
