horizon,ticker,event_count,abs_return_contribution_share,mean_raw_return,mean_spy_bhar
126D,NVDA,391,0.1971,0.296233,0.206852
126D,PLTR,12,0.0032,-0.161745,-0.235710
126D,PYPL,99,0.0358,-0.146809,-0.227427
126D,ROKU,1,0.0004,0.244480,0.146404
126D,SOFI,61,0.0235,-0.133616,-0.213156
126D,TSLA,307,0.1909,0.277154,0.180969
126D,UBER,50,0.0108,-0.018081,-0.093679
252D,AAPL,231,0.0474,0.185940,-0.005941
252D,AMC,20,0.0154,-0.702267,-0.951743
252D,AMD,187,0.2033,0.953482,0.825693
252D,AMZN,246,0.0684,0.239919,0.072032
252D,COIN,1,0.0004,-0.367992,-0.469762
252D,CRM,5,0.0013,-0.237823,-0.399893
252D,DIS,32,0.0048,0.088561,-0.149106
252D,GOOGL,240,0.1229,0.465059,0.297286
252D,HOOD,9,0.0007,-0.030222,-0.114659
252D,META,112,0.0125,-0.017556,-0.105916
252D,MSFT,226,0.0437,0.119484,-0.059870
252D,NFLX,92,0.0360,0.224140,0.077863
252D,NVDA,391,0.2194,0.512204,0.361607
252D,PLTR,12,0.0023,-0.173978,-0.253270
252D,PYPL,99,0.0255,-0.151201,-0.283798
252D,ROKU,1,0.0003,0.244480,0.146404
252D,SOFI,61,0.0143,-0.204981,-0.301029
252D,TSLA,307,0.1750,0.457058,0.277535
252D,UBER,50,0.0066,-0.040635,-0.163683
