ticker,events,hits,mean_pre_7d
AAPL,231,1,0.15584415584415584
AMC,20,0,0.0
AMD,187,0,0.0
AMZN,246,0,0.0
COIN,1,0,0.0
CRM,5,0,0.0
DIS,32,0,0.0
GME,1,0,0.0
GOOGL,240,0,0.0
HOOD,9,0,0.0
META,112,0,0.0
MSFT,226,0,0.0
NFLX,92,0,0.0
NVDA,391,0,0.0
PLTR,12,0,0.0
PYPL,99,0,0.0
ROKU,1,0,0.0
SHOP,10,0,0.0
SMCI,3,0,0.0
SOFI,61,0,0.0
SQ,4,0,0.0
TGT,1,0,0.0
TSLA,307,0,0.0
UBER,50,0,0.0
