event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
430,AAPL,Apple,2024-02-02,2024-02-02,True,5,True,True,False,False,gdelt_only,,,after_close,1,True
431,MSFT,Microsoft,2024-10-01,2024-10-01,False,0,False,False,True,False,gdelt_only,0.003364,-0.007391,during_market,1,False
432,PYPL,PayPal,2025-11-17,2025-11-17,True,0,False,True,False,False,gdelt_only,0.013334,0.061467,during_market,2,False
433,PYPL,PayPal,2025-11-17,2025-11-17,True,0,False,True,False,False,gdelt_only,0.011119,0.014049,during_market,2,False
434,AMZN,Amazon,2025-11-17,2025-11-17,True,6,True,True,False,False,gdelt_only,,,during_market,1,True
435,AAPL,Apple,2025-11-17,2025-11-17,False,6,True,True,False,False,gdelt_only,0.002067,-0.016546,during_market,1,True
436,NVDA,Nvidia,2024-08-15,2024-08-15,False,5,True,True,False,False,gdelt_only,0.003593,-0.033122,after_close,1,True
437,AAPL,Apple,2024-08-15,2024-08-15,False,5,True,True,False,False,gdelt_only,0.012334,0.156588,after_close,1,True
438,MSFT,Microsoft,2024-03-29,2024-04-01,False,0,False,False,True,False,gdelt_only,0.012334,0.156588,after_close,1,False
439,AMZN,Amazon,2024-06-04,2024-06-04,False,6,True,True,False,False,gdelt_only,-0.00519,0.061752,during_market,1,True
440,AMZN,Amazon,2024-05-11,2024-05-13,True,7,True,True,False,False,gdelt_only,-0.009399,0.012461,weekend_or_holiday,1,True
441,NVDA,Nvidia,2024-02-02,2024-02-02,False,5,True,True,False,False,gdelt_only,-0.022151,-0.041366,after_close,2,True
442,GOOGL,Alphabet,2024-02-02,2024-02-02,True,1,False,True,False,False,gdelt_only,-0.022151,-0.041366,after_close,2,False
443,UBER,Uber,2025-11-10,2025-11-10,True,0,False,True,False,False,gdelt_only,0.043529,0.073816,during_market,1,False
444,TSLA,Tesla,2024-02-17,2024-02-20,False,6,True,True,False,False,gdelt_only,0.020054,-0.078474,weekend_or_holiday,1,True
445,PYPL,PayPal,2024-02-07,2024-02-07,True,1,False,True,False,False,gdelt_only,0.020054,-0.078474,after_close,1,False
446,NVDA,Nvidia,2024-02-07,2024-02-07,False,6,True,True,False,False,gdelt_only,0.020054,-0.078474,after_close,1,True
447,UBER,Uber,2025-03-05,2025-03-05,False,0,False,False,True,False,gdelt_only,,,before_open,1,False
448,DIS,Disney,2024-03-15,2024-03-15,False,0,False,False,True,False,gdelt_only,0.027314,0.02275,after_close,1,False
449,AAPL,Apple,2024-03-15,2024-03-15,False,7,True,True,False,False,gdelt_only,-0.026575,0.005678,after_close,1,True
450,AMZN,Amazon,2024-03-15,2024-03-15,False,7,True,True,False,False,gdelt_only,0.014239,-0.058677,after_close,1,True
451,GOOGL,Alphabet,2024-03-15,2024-03-15,False,1,False,False,True,False,gdelt_only,0.030095,-0.013211,after_close,1,False
452,AMZN,Amazon,2024-10-30,2024-10-30,True,7,True,True,False,False,gdelt_only,0.030095,-0.013211,after_close,1,True
453,GOOGL,Alphabet,2024-10-30,2024-10-30,True,0,False,True,False,False,gdelt_only,0.005459,0.067605,after_close,2,False
454,GOOGL,Alphabet,2024-10-30,2024-10-30,True,0,False,True,False,False,gdelt_only,0.009307,0.05827,after_close,2,False
