group,event_count,matched_count,mean_abnormal_return_1d,mean_abnormal_return_5d,mean_abnormal_return_20d,mean_car_5d,mean_car_20d,positive_abnormal_return_5d_share,mean_volume_change_5d
2020,1,0,,,,,,,
2021,3,3,0.033244,-0.019627,0.030264,-0.016163,0.043230,0.333333,0.474592
2022,17,17,-0.004339,-0.067257,-0.111044,-0.071960,-0.110305,0.235294,0.262267
2023,23,23,-0.007044,0.014638,0.008288,0.016194,0.004552,0.782609,-0.038195
2024,47,47,0.005931,0.010243,-0.034161,0.009471,-0.034113,0.446809,-0.060211
2025,23,23,0.004586,0.004834,-0.014015,0.004775,-0.014573,0.478261,-0.153880
2026,18,18,0.017398,0.042135,0.019643,0.040659,0.018127,0.647059,0.344826
