ticker,n_events,event_time_historical_n,diagnostic_only_n,unknown_n
AAPL,231,0,0,231
AMC,20,0,0,20
AMD,187,0,0,187
AMZN,246,0,0,246
COIN,1,0,0,1
CRM,5,0,0,5
DIS,32,0,0,32
GOOGL,240,0,0,240
HOOD,9,0,0,9
META,112,0,0,112
MSFT,226,0,0,226
NFLX,92,0,0,92
NVDA,391,0,0,391
PLTR,12,0,0,12
PYPL,99,0,0,99
ROKU,1,0,0,1
SOFI,61,0,0,61
TSLA,307,0,0,307
UBER,50,0,0,50
