alignment_type,sample,analyst_alignment,horizon,n,mean_spy_bhar,median_spy_bhar,t_stat,p_value,winsorized_mean_spy_bhar,bootstrap_ci_lower,bootstrap_ci_upper,warning_flags
analyst_alignment,full,analyst_bearish_aligned,5D,19,0.0311304873592068,0.0252594017962148,2.46851885827873,0.013567350304640513,0.031438338762392715,0.008144065455466972,0.054199418399992864,thin_n_lt_50
analyst_alignment,full,analyst_bearish_aligned,21D,19,0.10441935081158599,0.0478980316842738,2.2791960405089697,0.02265541436992491,0.10463211054052345,0.01431101968911084,0.19140001595039655,thin_n_lt_50
analyst_alignment,full,analyst_bearish_aligned,63D,19,-0.0038655207842995397,-0.1129478998198755,-0.048941017112720434,0.9609663010806897,-0.0034249306941950917,-0.1356171887981862,0.15316934292195325,thin_n_lt_50
analyst_alignment,top5,analyst_bearish_aligned,5D,14,0.026993394498953317,0.02368415383642195,2.083447139238599,0.03721048526703297,0.027377251491587613,0.0006039236899841553,0.050521978657977216,thin_n_lt_50
analyst_alignment,top5,analyst_bearish_aligned,21D,14,0.13297605660957013,0.09551806751113295,2.290485831107196,0.02199316901118875,0.1332112616854079,0.025097392350957703,0.24140616441816437,thin_n_lt_50
analyst_alignment,top5,analyst_bearish_aligned,63D,14,0.05292545706859094,-0.09242706491429256,0.5351989693855815,0.592512278891282,0.05361961684944575,-0.10962185451558379,0.25572625249394487,thin_n_lt_50
analyst_alignment,non_top,analyst_bearish_aligned,5D,5,0.04271434736791656,0.0252594017962148,1.2615126739035447,0.20712419664690618,0.04296181768059376,-0.01670981194174056,0.10213850667757367,thin_n_lt_50
analyst_alignment,non_top,analyst_bearish_aligned,21D,5,0.024460574577230415,-0.0433243094037716,0.44282392193757797,0.6578930988905121,0.02458320463738401,-0.06642097372290974,0.11840787438121039,thin_n_lt_50
analyst_alignment,non_top,analyst_bearish_aligned,63D,5,-0.1628802587723929,-0.130018236413513,-1.7067911417192514,0.08786087949121546,-0.1625082049185269,-0.3324486561238126,0.006688138579026837,thin_n_lt_50
analyst_alignment,full,analyst_bullish_aligned,5D,1385,0.0006272835480562582,-0.002056941589948,0.40939358186581415,0.682250848926099,0.0003286156029793538,-0.002246351510446489,0.00354361544457441,
analyst_alignment,full,analyst_bullish_aligned,21D,1385,0.008139267540252253,0.0014125883062185,2.6828038977292885,0.007300778650700224,0.007453605872613415,0.002796656825145075,0.01403747581304745,
analyst_alignment,full,analyst_bullish_aligned,63D,1385,0.051094160458204675,0.0051589861505496,8.604537581893274,0.0,0.05044415329534883,0.040057439511801476,0.06308571637662068,
analyst_alignment,top5,analyst_bullish_aligned,5D,789,0.001792854103228181,-0.0011794369039952,0.7827068480690598,0.4337992799047181,0.001273371904042406,-0.0025689452052875847,0.006307062460483719,
analyst_alignment,top5,analyst_bullish_aligned,21D,789,0.021381715798427462,0.0090639070582432,4.55916811166426,5.135664889577285e-06,0.02069478761420723,0.011564866271423987,0.031594700294118185,
analyst_alignment,top5,analyst_bullish_aligned,63D,789,0.10075043056267599,0.051462174728176,10.923606024040893,0.0,0.1002622941342385,0.08315789754304231,0.11882709266326653,
analyst_alignment,non_top,analyst_bullish_aligned,5D,596,-0.0009157284788408007,-0.004136610170208,-0.49057452203908836,0.6237274100672283,-0.0011002628100123563,-0.00462228962506052,0.0027370800770535123,
analyst_alignment,non_top,analyst_bullish_aligned,21D,596,-0.009391423190788417,-0.0151853276046153,-2.9284802169861255,0.0034062350803929498,-0.009151446479195816,-0.01504887538582724,-0.0021928977748443454,
analyst_alignment,non_top,analyst_bullish_aligned,63D,596,-0.014642076307613891,-0.0339068956083891,-2.73299235113354,0.006276178980682001,-0.01542058260679216,-0.025568097764719463,-0.003675294254704381,
analyst_alignment,full,analyst_neutral_or_mixed,5D,468,-0.0022016675709300697,3.868357959557756e-05,-0.6825418556726734,0.4948963858313107,-0.001356830489310974,-0.008400770853073265,0.004190950963376575,
analyst_alignment,full,analyst_neutral_or_mixed,21D,468,-0.019026420201194303,-0.017131634468495652,-2.3358729614858635,0.01949786354774452,-0.019039705580040204,-0.03460174300309117,-0.002145969644682338,
analyst_alignment,full,analyst_neutral_or_mixed,63D,468,0.01659153085685787,0.017904043654491247,1.3670366423825733,0.17161382047760965,0.015415816245534597,-0.006127990772207458,0.04004582288394055,
analyst_alignment,top5,analyst_neutral_or_mixed,5D,246,0.010000239658696466,0.00747456493250835,2.468578065397486,0.013565106024818308,0.01013305113920842,0.0030215352538454244,0.017326278390762707,
analyst_alignment,top5,analyst_neutral_or_mixed,21D,246,0.0028254085491553295,-0.0170935152133762,0.31306048126425523,0.7542347124040438,0.0030276518281373457,-0.016311196338587103,0.01983165731946953,
analyst_alignment,top5,analyst_neutral_or_mixed,63D,246,0.08410740727316011,0.0477850953743026,5.46407680936207,4.6532203645810455e-08,0.08281476355080138,0.05756338170130055,0.11436628401984386,
analyst_alignment,non_top,analyst_neutral_or_mixed,5D,222,-0.01572269990646218,-0.0056544526795203,-3.1688469659228153,0.0015304495507633131,-0.01394169200467057,-0.02532238689840933,-0.007012221671495812,
analyst_alignment,non_top,analyst_neutral_or_mixed,21D,222,-0.0432406088164466,-0.01971914166198255,-3.1333453247537655,0.0017282598028365292,-0.044541363527528605,-0.07089838945864162,-0.01912440923082989,
analyst_alignment,non_top,analyst_neutral_or_mixed,63D,222,-0.05822335922607166,-0.022054138781109248,-3.2704484521165083,0.0010737711009984885,-0.05922393056878912,-0.0915935441487313,-0.026794906151271416,
analyst_alignment,full,finfluencer_contrarian_to_analyst,5D,450,0.0023213134495256313,-0.0018314161014478,0.7438977682443145,0.45693832565715775,0.002861776444359896,-0.003495440287399228,0.008297492489744387,
analyst_alignment,full,finfluencer_contrarian_to_analyst,21D,450,0.006699787950626642,0.00161940746530225,1.2421624608285122,0.2141766269268599,0.005152364242366168,-0.0030536833515758294,0.01822936381239066,
analyst_alignment,full,finfluencer_contrarian_to_analyst,63D,450,0.04702967065235838,0.0136704718827146,4.3735549496570485,1.222394577737873e-05,0.04637546289931951,0.027271582059277478,0.06948234072211865,
analyst_alignment,top5,finfluencer_contrarian_to_analyst,5D,313,0.005586438646531507,-0.0004529767005627,1.405376076255757,0.1599094768955973,0.005966015659012215,-0.0017195256659669894,0.013786652195618655,
analyst_alignment,top5,finfluencer_contrarian_to_analyst,21D,313,0.013271074042742059,0.005692614147531,1.8825457812177309,0.05976195003198681,0.011429293740045428,0.0001196587873515028,0.026735156751986514,
analyst_alignment,top5,finfluencer_contrarian_to_analyst,63D,313,0.08100141456461854,0.0365073176436567,5.812106479257353,6.1691578512323986e-09,0.08090099696493164,0.053792066436270505,0.11100438380192036,
analyst_alignment,non_top,finfluencer_contrarian_to_analyst,5D,137,-0.005138425139254216,-0.0031269907362971,-1.0908627800913735,0.275333266810041,-0.004259201332047682,-0.014257101166435956,0.0037569923278621023,
analyst_alignment,non_top,finfluencer_contrarian_to_analyst,21D,137,-0.008313442318220989,-0.0103392984629122,-1.1460507510817735,0.2517741534864011,-0.007963863054288929,-0.02326462264200149,0.006387291960543324,
analyst_alignment,non_top,finfluencer_contrarian_to_analyst,63D,137,-0.030584605585141113,-0.0362981998787645,-2.3305101307472773,0.019779205211095885,-0.031220587781093625,-0.056340288093722504,-0.0060211141393399625,
analyst_alignment_event_time,full,analyst_bearish_aligned,5D,19,0.0311304873592068,0.0252594017962148,2.46851885827873,0.013567350304640513,0.031438338762392715,0.008144065455466972,0.054199418399992864,thin_n_lt_50
analyst_alignment_event_time,full,analyst_bearish_aligned,21D,19,0.10441935081158599,0.0478980316842738,2.2791960405089697,0.02265541436992491,0.10463211054052345,0.01431101968911084,0.19140001595039655,thin_n_lt_50
analyst_alignment_event_time,full,analyst_bearish_aligned,63D,19,-0.0038655207842995397,-0.1129478998198755,-0.048941017112720434,0.9609663010806897,-0.0034249306941950917,-0.1356171887981862,0.15316934292195325,thin_n_lt_50
analyst_alignment_event_time,top5,analyst_bearish_aligned,5D,14,0.026993394498953317,0.02368415383642195,2.083447139238599,0.03721048526703297,0.027377251491587613,0.0006039236899841553,0.050521978657977216,thin_n_lt_50
analyst_alignment_event_time,top5,analyst_bearish_aligned,21D,14,0.13297605660957013,0.09551806751113295,2.290485831107196,0.02199316901118875,0.1332112616854079,0.025097392350957703,0.24140616441816437,thin_n_lt_50
analyst_alignment_event_time,top5,analyst_bearish_aligned,63D,14,0.05292545706859094,-0.09242706491429256,0.5351989693855815,0.592512278891282,0.05361961684944575,-0.10962185451558379,0.25572625249394487,thin_n_lt_50
analyst_alignment_event_time,non_top,analyst_bearish_aligned,5D,5,0.04271434736791656,0.0252594017962148,1.2615126739035447,0.20712419664690618,0.04296181768059376,-0.01670981194174056,0.10213850667757367,thin_n_lt_50
analyst_alignment_event_time,non_top,analyst_bearish_aligned,21D,5,0.024460574577230415,-0.0433243094037716,0.44282392193757797,0.6578930988905121,0.02458320463738401,-0.06642097372290974,0.11840787438121039,thin_n_lt_50
analyst_alignment_event_time,non_top,analyst_bearish_aligned,63D,5,-0.1628802587723929,-0.130018236413513,-1.7067911417192514,0.08786087949121546,-0.1625082049185269,-0.3324486561238126,0.006688138579026837,thin_n_lt_50
analyst_alignment_event_time,full,analyst_bullish_aligned,5D,1385,0.0006272835480562582,-0.002056941589948,0.40939358186581415,0.682250848926099,0.0003286156029793538,-0.002246351510446489,0.00354361544457441,
analyst_alignment_event_time,full,analyst_bullish_aligned,21D,1385,0.008139267540252253,0.0014125883062185,2.6828038977292885,0.007300778650700224,0.007453605872613415,0.002796656825145075,0.01403747581304745,
analyst_alignment_event_time,full,analyst_bullish_aligned,63D,1385,0.051094160458204675,0.0051589861505496,8.604537581893274,0.0,0.05044415329534883,0.040057439511801476,0.06308571637662068,
analyst_alignment_event_time,top5,analyst_bullish_aligned,5D,789,0.001792854103228181,-0.0011794369039952,0.7827068480690598,0.4337992799047181,0.001273371904042406,-0.0025689452052875847,0.006307062460483719,
analyst_alignment_event_time,top5,analyst_bullish_aligned,21D,789,0.021381715798427462,0.0090639070582432,4.55916811166426,5.135664889577285e-06,0.02069478761420723,0.011564866271423987,0.031594700294118185,
analyst_alignment_event_time,top5,analyst_bullish_aligned,63D,789,0.10075043056267599,0.051462174728176,10.923606024040893,0.0,0.1002622941342385,0.08315789754304231,0.11882709266326653,
analyst_alignment_event_time,non_top,analyst_bullish_aligned,5D,596,-0.0009157284788408007,-0.004136610170208,-0.49057452203908836,0.6237274100672283,-0.0011002628100123563,-0.00462228962506052,0.0027370800770535123,
analyst_alignment_event_time,non_top,analyst_bullish_aligned,21D,596,-0.009391423190788417,-0.0151853276046153,-2.9284802169861255,0.0034062350803929498,-0.009151446479195816,-0.01504887538582724,-0.0021928977748443454,
analyst_alignment_event_time,non_top,analyst_bullish_aligned,63D,596,-0.014642076307613891,-0.0339068956083891,-2.73299235113354,0.006276178980682001,-0.01542058260679216,-0.025568097764719463,-0.003675294254704381,
analyst_alignment_event_time,full,analyst_neutral_or_mixed,5D,468,-0.0022016675709300697,3.868357959557756e-05,-0.6825418556726734,0.4948963858313107,-0.001356830489310974,-0.008400770853073265,0.004190950963376575,
analyst_alignment_event_time,full,analyst_neutral_or_mixed,21D,468,-0.019026420201194303,-0.017131634468495652,-2.3358729614858635,0.01949786354774452,-0.019039705580040204,-0.03460174300309117,-0.002145969644682338,
analyst_alignment_event_time,full,analyst_neutral_or_mixed,63D,468,0.01659153085685787,0.017904043654491247,1.3670366423825733,0.17161382047760965,0.015415816245534597,-0.006127990772207458,0.04004582288394055,
analyst_alignment_event_time,top5,analyst_neutral_or_mixed,5D,246,0.010000239658696466,0.00747456493250835,2.468578065397486,0.013565106024818308,0.01013305113920842,0.0030215352538454244,0.017326278390762707,
analyst_alignment_event_time,top5,analyst_neutral_or_mixed,21D,246,0.0028254085491553295,-0.0170935152133762,0.31306048126425523,0.7542347124040438,0.0030276518281373457,-0.016311196338587103,0.01983165731946953,
analyst_alignment_event_time,top5,analyst_neutral_or_mixed,63D,246,0.08410740727316011,0.0477850953743026,5.46407680936207,4.6532203645810455e-08,0.08281476355080138,0.05756338170130055,0.11436628401984386,
analyst_alignment_event_time,non_top,analyst_neutral_or_mixed,5D,222,-0.01572269990646218,-0.0056544526795203,-3.1688469659228153,0.0015304495507633131,-0.01394169200467057,-0.02532238689840933,-0.007012221671495812,
analyst_alignment_event_time,non_top,analyst_neutral_or_mixed,21D,222,-0.0432406088164466,-0.01971914166198255,-3.1333453247537655,0.0017282598028365292,-0.044541363527528605,-0.07089838945864162,-0.01912440923082989,
analyst_alignment_event_time,non_top,analyst_neutral_or_mixed,63D,222,-0.05822335922607166,-0.022054138781109248,-3.2704484521165083,0.0010737711009984885,-0.05922393056878912,-0.0915935441487313,-0.026794906151271416,
analyst_alignment_event_time,full,finfluencer_contrarian_to_analyst,5D,450,0.0023213134495256313,-0.0018314161014478,0.7438977682443145,0.45693832565715775,0.002861776444359896,-0.003495440287399228,0.008297492489744387,
analyst_alignment_event_time,full,finfluencer_contrarian_to_analyst,21D,450,0.006699787950626642,0.00161940746530225,1.2421624608285122,0.2141766269268599,0.005152364242366168,-0.0030536833515758294,0.01822936381239066,
analyst_alignment_event_time,full,finfluencer_contrarian_to_analyst,63D,450,0.04702967065235838,0.0136704718827146,4.3735549496570485,1.222394577737873e-05,0.04637546289931951,0.027271582059277478,0.06948234072211865,
analyst_alignment_event_time,top5,finfluencer_contrarian_to_analyst,5D,313,0.005586438646531507,-0.0004529767005627,1.405376076255757,0.1599094768955973,0.005966015659012215,-0.0017195256659669894,0.013786652195618655,
analyst_alignment_event_time,top5,finfluencer_contrarian_to_analyst,21D,313,0.013271074042742059,0.005692614147531,1.8825457812177309,0.05976195003198681,0.011429293740045428,0.0001196587873515028,0.026735156751986514,
