event_id,ticker,event_date,recommendation_type,top5_flag,high_confidence,finfluencer_direction,fmp_provider_status,fmp_has_event_time_data,fmp_latest_only,fmp_error_class_safe,finnhub_provider_status,finnhub_has_event_time_data,finnhub_latest_only,finnhub_error_class_safe,yfinance_provider_status,yfinance_has_data,yfinance_latest_only,diagnostic_yfinance_fallback,yf_error_class_safe,yf_has_event_time_data,analyst_bullish_aligned,analyst_bearish_aligned,analyst_neutral_or_mixed,finfluencer_contrarian_to_analyst,recent_analyst_upgrade_relay,recent_analyst_downgrade_relay,analyst_relay_likely,analyst_unknown,analyst_event_time_usable,diagnostic_current_only,analyst_alignment,analyst_data_mode,primary_analyst_source,yf_recommendation_key,yf_recommendation_mean,yf_number_of_analysts,yf_target_mean,yf_target_median,yf_target_high,yf_target_low,fmp_rating_date,finnhub_period_date,yf_snapshot_available,yf_event_time_usable,yf_diagnostic_current_only,yf_provider_status,yf_recommendation_key_current,yf_recommendation_mean_current,yf_number_of_analysts_current,yf_target_mean_current,yf_target_median_current,yf_target_high_current,yf_target_low_current,yf_target_upside_vs_event_price_current,yf_current_bullish_aligned,yf_current_bearish_aligned,yf_current_neutral_or_mixed,yf_current_contrarian_to_finfluencer,yf_analyst_relay_likely_diagnostic,yf_latest_recommendation_date_pre_event,yf_latest_firm_pre_event,yf_latest_to_grade_pre_event,yf_latest_from_grade_pre_event,yf_latest_recommendation_action_pre_event,yf_recent_upgrade_pre_event,yf_recent_downgrade_pre_event,yf_consensus_bucket_event_time_if_available,yf_event_time_bullish_aligned,yf_event_time_bearish_aligned,yf_event_time_neutral_or_mixed,yf_event_time_contrarian_to_finfluencer,yf_analyst_relay_likely_event_time,analyst_event_time_source,analyst_diagnostic_source,analyst_diagnostic_current_only,analyst_alignment_event_time,analyst_alignment_diagnostic,analyst_relay_likely_event_time,analyst_relay_likely_diagnostic,analyst_any_coverage,analyst_coverage_tier
11,NFLX,2023-02-10,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,1.68,44,114.555,115.0,151.4,80.0,,,True,True,False,ok,buy,1.68,44.0,114.555,115.0,151.4,80.0,2.2978753972453267,True,False,False,False,True,2023-02-06,Jefferies,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
12,AMZN,2023-06-16,sell,True,True,bearish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.34848,62,311.55145,317.0,370.0,207.0,,,True,True,False,ok,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,1.482679538637148,False,False,False,True,True,2023-06-12,B of A Securities,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
13,NFLX,2023-06-16,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,1.68,44,114.555,115.0,151.4,80.0,,,True,True,False,ok,buy,1.68,44.0,114.555,115.0,151.4,80.0,1.6519817174298006,True,False,False,False,True,2023-06-14,Barclays,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
14,NVDA,2023-06-16,sell,True,False,bearish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.29508,57,272.93738,275.0,380.0,140.0,,,True,True,False,ok,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,5.398171511442218,False,False,False,True,True,2023-06-16,Morgan Stanley,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
15,TSLA,2023-06-16,sell,True,True,bearish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,2.3617,41,412.25366,450.0,600.0,123.0,,,True,True,False,ok,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.5823046230111715,False,False,False,True,True,2023-06-15,Wedbush,,,reit,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
16,GOOGL,2024-01-08,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.39683,52,427.88712,430.0,515.0,334.22,,,True,True,False,ok,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,2.107343864263575,True,False,False,False,True,2023-12-07,Roth MKM,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
17,TSLA,2024-01-08,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,2.3617,41,412.25366,450.0,600.0,123.0,,,True,True,False,ok,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.7145089009451693,True,False,False,False,True,2024-01-02,Oppenheimer,,,reit,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
18,TSLA,2023-08-18,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,2.3617,41,412.25366,450.0,600.0,123.0,,,True,True,False,ok,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.9130987493203152,True,False,False,False,True,2023-08-07,Bernstein,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
19,AAPL,2023-08-18,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,1.95833,43,308.06512,310.0,400.0,215.0,,,True,True,False,ok,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7878543260743007,True,False,False,False,True,2023-08-17,Wedbush,,,reit,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
20,AMZN,2023-03-03,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.34848,62,311.55145,317.0,370.0,207.0,,,True,True,False,ok,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,2.282944625823225,True,False,False,False,True,2023-02-14,Loop Capital,,,main,False,False,unknown,False,False,False,False,False,fmp,none,False,analyst_unknown,analyst_unknown,False,True,True,event_time_primary_provider
