event_id,creator,ticker,recommendation_type,pre_event_return_20_1,pre_event_abnormal_return_20_1,pre_event_return_5_1,pre_event_abnormal_return_5_1,event_day_return_0_1,event_day_abnormal_return_0_1,post_event_return_0_5,post_event_abnormal_return_0_5,post_event_return_5_20,post_event_abnormal_return_5_20,post_event_return_0_20,post_event_abnormal_return_0_20,momentum_decile,short_momentum_decile,reversal_flag,continuation_flag,event_quality_score
643,Jose Najarro Stocks,GOOGL,buy,0.062996,0.059491,0.034969,0.012610,0.004364,0.004465,0.015424,0.023993,-0.078920,-0.084170,-0.064714,-0.061349,8,7,False,True,67
644,Jose Najarro Stocks,AMZN,buy,0.025374,0.021868,0.032121,0.009762,-0.006825,-0.006725,-0.024767,-0.016198,-0.117258,-0.122508,-0.139120,-0.135756,7,7,True,False,66
645,"Mark Roussin, CPA",MSFT,buy,-0.024943,0.020347,-0.036328,-0.004242,0.018115,0.015290,-0.046698,0.051641,0.101101,0.002088,0.049682,0.058745,7,5,False,True,81
646,"Mark Roussin, CPA",GOOGL,buy,0.125415,-0.030886,0.048782,0.029553,-0.015372,-0.012009,0.038189,0.044409,0.018872,0.008080,0.057782,0.053277,4,9,True,False,58
647,"Mark Roussin, CPA",AMD,buy,0.369448,0.213147,0.083703,0.064475,-0.010720,-0.007358,-0.001569,0.004651,0.109462,0.098670,0.107722,0.103216,10,10,False,True,59
648,The Investor Channel,AMD,buy,-0.228970,-0.208002,-0.053218,-0.050592,0.017509,0.046633,0.013359,0.013190,0.106427,0.048846,0.121208,0.063448,1,2,True,False,72
649,The Investor Channel,MSFT,buy,-0.107901,-0.086932,-0.019188,-0.016561,-0.032657,-0.003533,-0.006047,-0.006215,0.029240,-0.028341,0.023016,-0.034743,3,4,False,True,57
650,The Investor Channel,TSLA,buy,-0.137802,-0.116834,-0.013376,-0.010749,-0.042327,-0.013203,-0.036934,-0.037102,0.070550,0.012969,0.031011,-0.026749,2,5,False,True,60
651,"Mark Roussin, CPA",SOFI,buy,0.134996,0.150262,0.171251,0.126491,-0.057272,-0.057669,-0.040693,-0.048775,0.046347,-0.005425,0.003768,-0.056504,9,10,True,False,65
652,Jose Najarro Stocks,NVDA,buy,-0.004984,-0.003318,0.007732,0.011246,0.010994,0.007009,-0.004612,-0.008481,0.039007,0.050597,0.034215,0.041981,5,7,False,True,75
653,Jose Najarro Stocks,AAPL,buy,-0.094116,-0.092451,-0.029312,-0.025798,0.011198,0.007213,0.057163,0.053294,0.008832,0.020422,0.066500,0.074266,3,3,True,False,75
654,Jose Najarro Stocks,META,buy,-0.013168,-0.011502,0.062088,0.065601,0.000907,-0.003077,0.050643,0.046774,-0.095001,-0.083411,-0.049170,-0.041404,5,10,True,False,58
655,Daniel Pronk,AMZN,buy,-0.158060,-0.116649,-0.049219,-0.019481,-0.036763,-0.019012,-0.045450,-0.003962,-0.014480,-0.027629,-0.059272,-0.030387,2,4,False,True,68
656,Jose Najarro Stocks,AMD,buy,0.153039,0.127563,0.116231,0.121266,0.077096,0.065554,0.086711,0.060279,-0.205968,-0.192739,-0.137116,-0.149971,9,10,False,True,58
657,The Investor Channel,GOOGL,buy,0.013670,-0.008274,-0.012233,0.005842,-0.050388,-0.027725,-0.063260,-0.041987,-0.018263,-0.049075,-0.080367,-0.089252,5,6,False,True,67
658,Couch Investor,PYPL,buy,-0.012547,-0.048314,-0.015311,-0.018060,-0.007518,-0.012088,-0.012696,-0.015880,-0.032995,-0.035862,-0.045272,-0.051332,4,4,False,True,76
659,Couch Investor,TSLA,buy,0.230407,0.194641,0.012392,0.009643,-0.006486,-0.011057,-0.070182,-0.073365,-0.011157,-0.014024,-0.080556,-0.086616,10,7,True,False,64
660,Jose Najarro Stocks,AMD,buy,0.180689,0.179206,0.113241,0.117951,-0.032232,-0.037310,-0.088378,-0.092353,-0.169518,-0.155674,-0.242914,-0.232990,10,10,True,False,66
661,Jose Najarro Stocks,MSFT,buy,-0.073349,-0.074832,-0.012088,-0.007378,0.009293,0.004215,-0.076532,-0.080507,-0.104447,-0.090602,-0.172985,-0.163061,3,5,False,True,58
662,Jose Najarro Stocks,TSLA,buy,-0.074553,-0.076036,0.024603,0.029312,-0.030864,-0.035943,-0.041531,-0.045507,-0.071049,-0.057204,-0.109629,-0.099705,3,9,False,True,86
663,"Value Investing with Sven Carlin, Ph.D.",AAPL,sell,0.020466,0.008579,-0.017277,-0.027514,0.014286,0.005976,0.053794,0.043108,0.079794,0.055831,0.137881,0.102975,6,3,False,True,62
664,"Value Investing with Sven Carlin, Ph.D.",AAPL,sell,0.020466,0.008579,-0.017277,-0.027514,0.014286,0.005976,0.053794,0.043108,0.079794,0.055831,0.137881,0.102975,6,3,False,True,58
665,"Value Investing with Sven Carlin, Ph.D.",AMZN,buy,0.075721,0.063834,0.054206,0.043969,-0.001650,-0.009960,0.005601,-0.005086,-0.027631,-0.051595,-0.022186,-0.057092,8,9,True,False,61
666,Daniel Pronk,AMZN,buy,-0.165566,-0.092374,-0.045437,-0.017215,0.011699,0.006393,-0.019177,-0.028351,-0.114926,-0.002547,-0.131899,-0.027664,3,4,False,True,87
667,The Investor Channel,AMD,buy,-0.113768,-0.112704,-0.092532,-0.076244,0.043629,0.027374,-0.059665,-0.023042,0.156092,0.080615,0.087114,0.051025,2,1,False,True,61
668,The Investor Channel,GOOGL,buy,-0.073556,-0.072492,-0.067440,-0.051152,0.007340,-0.008914,-0.070468,-0.033845,0.040369,-0.035107,-0.032944,-0.069033,3,2,False,True,67
669,The Investor Channel,NFLX,buy,0.004138,-0.027108,-0.054876,-0.058193,0.013666,0.010916,-0.022020,-0.002376,0.000947,0.030092,-0.021093,0.027122,5,2,False,True,67
670,The Investor Channel,MSFT,buy,0.030926,-0.000320,-0.027504,-0.030822,0.000904,-0.001846,-0.036247,-0.016604,-0.071126,-0.041982,-0.104796,-0.056580,6,3,False,True,65
671,The Investor Channel,TSLA,buy,0.359524,0.328278,-0.041706,-0.045024,0.017766,0.015016,-0.036378,-0.016734,-0.163880,-0.134735,-0.194296,-0.146080,10,2,True,False,64
672,The Investor Channel,AAPL,buy,0.002392,0.003571,0.021104,-0.001926,0.006869,0.025488,-0.023127,-0.000365,0.078505,0.026305,0.053563,0.025313,6,5,True,False,60
673,The Investor Channel,MSFT,buy,-0.065684,-0.064621,-0.040733,-0.024445,-0.010806,-0.027061,-0.055117,-0.018493,0.037476,-0.038000,-0.019706,-0.055795,3,4,False,True,70
674,The Investor Channel,MSFT,buy,-0.065684,-0.064621,-0.040733,-0.024445,-0.010806,-0.027061,-0.055117,-0.018493,0.037476,-0.038000,-0.019706,-0.055795,3,4,False,True,70
675,The Investor Channel,MSFT,sell,-0.065684,-0.064621,-0.040733,-0.024445,-0.010806,-0.027061,-0.055117,-0.018493,0.037476,-0.038000,-0.019706,-0.055795,3,4,False,True,70
676,The Investor Channel,MSFT,buy,-0.065684,-0.064621,-0.040733,-0.024445,-0.010806,-0.027061,-0.055117,-0.018493,0.037476,-0.038000,-0.019706,-0.055795,3,4,False,True,70
677,The Investor Channel,MSFT,buy,-0.065684,-0.064621,-0.040733,-0.024445,-0.010806,-0.027061,-0.055117,-0.018493,0.037476,-0.038000,-0.019706,-0.055795,3,4,False,True,53
678,"Mark Roussin, CPA",AMZN,sell,-0.165566,-0.092374,-0.045437,-0.017215,0.011699,0.006393,-0.019177,-0.028351,-0.114926,-0.002547,-0.131899,-0.027664,3,4,False,True,77
679,"Mark Roussin, CPA",NVDA,sell,-0.199072,-0.125880,-0.077679,-0.049457,0.064276,0.058969,0.061425,0.052251,-0.165728,-0.053350,-0.114483,-0.010248,2,2,True,False,77
680,Couch Investor,NFLX,buy,-0.104406,-0.126588,-0.013609,-0.041302,0.008864,0.008965,-0.028300,-0.017856,-0.058138,-0.072132,-0.084793,-0.088197,2,2,False,True,65
681,The Investor Channel,TSLA,sell,0.377533,0.355589,-0.019684,-0.001608,-0.123346,-0.100683,-0.096436,-0.075164,-0.006828,-0.037640,-0.102606,-0.111490,10,5,True,False,72
682,The Investor Channel,TSLA,buy,0.377533,0.355589,-0.019684,-0.001608,-0.123346,-0.100683,-0.096436,-0.075164,-0.006828,-0.037640,-0.102606,-0.111490,10,5,True,False,68
