query_key,ticker,time_from,time_to,event_count,query_status,article_rows_returned,error_message_truncated
AAPL_2020-04-30_2020-12-31,AAPL,20200430T0000,20201231T2359,231,ok,428.0,
AAPL_2021-01-01_2021-12-31,AAPL,20210101T0000,20211231T2359,231,ok,858.0,
AAPL_2022-01-01_2022-12-31,AAPL,20220101T0000,20221231T2359,231,ok,816.0,
AAPL_2023-01-01_2023-12-31,AAPL,20230101T0000,20231231T2359,231,ok,567.0,
AAPL_2024-01-01_2024-12-31,AAPL,20240101T0000,20241231T2359,231,ok,682.0,
AAPL_2025-01-01_2025-12-31,AAPL,20250101T0000,20251231T2359,231,ok,1000.0,
AAPL_2026-01-01_2026-05-04,AAPL,20260101T0000,20260504T2359,231,ok,1000.0,
AMC_2023-03-28_2023-12-31,AMC,20230328T0000,20231231T2359,20,ok,14.0,
AMC_2024-01-01_2024-05-31,AMC,20240101T0000,20240531T2359,20,ok,5.0,
AMD_2022-09-20_2022-12-31,AMD,20220920T0000,20221231T2359,187,ok,120.0,
AMD_2023-01-01_2023-12-31,AMD,20230101T0000,20231231T2359,187,ok,302.0,
AMD_2024-01-01_2024-12-31,AMD,20240101T0000,20241231T2359,187,ok,440.0,
AMD_2025-01-01_2025-12-31,AMD,20250101T0000,20251231T2359,187,ok,1000.0,
AMD_2026-01-01_2026-05-07,AMD,20260101T0000,20260507T2359,187,ok,1000.0,
AMZN_2020-07-12_2020-12-31,AMZN,20200712T0000,20201231T2359,246,ok,696.0,
AMZN_2021-01-01_2021-12-31,AMZN,20210101T0000,20211231T2359,246,ok,1000.0,
AMZN_2022-01-01_2022-12-31,AMZN,20220101T0000,20221231T2359,246,ok,1000.0,
AMZN_2023-01-01_2023-12-31,AMZN,20230101T0000,20231231T2359,246,ok,788.0,
AMZN_2024-01-01_2024-12-31,AMZN,20240101T0000,20241231T2359,246,ok,993.0,
AMZN_2025-01-01_2025-12-31,AMZN,20250101T0000,20251231T2359,246,ok,1000.0,
AMZN_2026-01-01_2026-05-12,AMZN,20260101T0000,20260512T2359,246,not_queried_budget_exhausted,nan,nan
COIN_2025-11-05_2025-11-05,COIN,20251105T0000,20251105T2359,1,not_queried_budget_exhausted,nan,nan
CRM_2024-07-27_2024-12-31,CRM,20240727T0000,20241231T2359,5,not_queried_budget_exhausted,nan,nan
CRM_2025-01-01_2025-10-09,CRM,20250101T0000,20251009T2359,5,not_queried_budget_exhausted,nan,nan
DIS_2022-09-30_2022-12-31,DIS,20220930T0000,20221231T2359,32,not_queried_budget_exhausted,nan,nan
DIS_2023-01-01_2023-12-31,DIS,20230101T0000,20231231T2359,32,not_queried_budget_exhausted,nan,nan
DIS_2024-01-01_2024-12-31,DIS,20240101T0000,20241231T2359,32,not_queried_budget_exhausted,nan,nan
DIS_2025-01-01_2025-12-31,DIS,20250101T0000,20251231T2359,32,not_queried_budget_exhausted,nan,nan
DIS_2026-01-01_2026-02-12,DIS,20260101T0000,20260212T2359,32,not_queried_budget_exhausted,nan,nan
GME_2026-01-29_2026-01-29,GME,20260129T0000,20260129T2359,1,not_queried_budget_exhausted,nan,nan
GOOGL_2021-04-01_2021-12-31,GOOGL,20210401T0000,20211231T2359,240,not_queried_budget_exhausted,nan,nan
GOOGL_2022-01-01_2022-12-31,GOOGL,20220101T0000,20221231T2359,240,not_queried_budget_exhausted,nan,nan
GOOGL_2023-01-01_2023-12-31,GOOGL,20230101T0000,20231231T2359,240,not_queried_budget_exhausted,nan,nan
GOOGL_2024-01-01_2024-12-31,GOOGL,20240101T0000,20241231T2359,240,not_queried_budget_exhausted,nan,nan
GOOGL_2025-01-01_2025-12-31,GOOGL,20250101T0000,20251231T2359,240,not_queried_budget_exhausted,nan,nan
GOOGL_2026-01-01_2026-05-12,GOOGL,20260101T0000,20260512T2359,240,not_queried_budget_exhausted,nan,nan
HOOD_2026-02-06_2026-04-23,HOOD,20260206T0000,20260423T2359,9,not_queried_budget_exhausted,nan,nan
META_2021-09-13_2021-12-31,META,20210913T0000,20211231T2359,112,not_queried_budget_exhausted,nan,nan
META_2022-01-01_2022-12-31,META,20220101T0000,20221231T2359,112,not_queried_budget_exhausted,nan,nan
META_2023-01-01_2023-12-31,META,20230101T0000,20231231T2359,112,not_queried_budget_exhausted,nan,nan
META_2024-01-01_2024-12-31,META,20240101T0000,20241231T2359,112,not_queried_budget_exhausted,nan,nan
META_2025-01-01_2025-12-31,META,20250101T0000,20251231T2359,112,not_queried_budget_exhausted,nan,nan
META_2026-01-01_2026-05-09,META,20260101T0000,20260509T2359,112,not_queried_budget_exhausted,nan,nan
MSFT_2021-03-08_2021-12-31,MSFT,20210308T0000,20211231T2359,226,not_queried_budget_exhausted,nan,nan
MSFT_2022-01-01_2022-12-31,MSFT,20220101T0000,20221231T2359,226,not_queried_budget_exhausted,nan,nan
MSFT_2023-01-01_2023-12-31,MSFT,20230101T0000,20231231T2359,226,not_queried_budget_exhausted,nan,nan
MSFT_2024-01-01_2024-12-31,MSFT,20240101T0000,20241231T2359,226,not_queried_budget_exhausted,nan,nan
MSFT_2025-01-01_2025-12-31,MSFT,20250101T0000,20251231T2359,226,not_queried_budget_exhausted,nan,nan
MSFT_2026-01-01_2026-05-05,MSFT,20260101T0000,20260505T2359,226,not_queried_budget_exhausted,nan,nan
NFLX_2021-09-13_2021-12-31,NFLX,20210913T0000,20211231T2359,92,not_queried_budget_exhausted,nan,nan
NFLX_2022-01-01_2022-12-31,NFLX,20220101T0000,20221231T2359,92,not_queried_budget_exhausted,nan,nan
NFLX_2023-01-01_2023-12-31,NFLX,20230101T0000,20231231T2359,92,not_queried_budget_exhausted,nan,nan
NFLX_2024-01-01_2024-12-31,NFLX,20240101T0000,20241231T2359,92,not_queried_budget_exhausted,nan,nan
NFLX_2025-01-01_2025-12-31,NFLX,20250101T0000,20251231T2359,92,not_queried_budget_exhausted,nan,nan
NFLX_2026-01-01_2026-05-08,NFLX,20260101T0000,20260508T2359,92,not_queried_budget_exhausted,nan,nan
NVDA_2022-11-14_2022-12-31,NVDA,20221114T0000,20221231T2359,391,not_queried_budget_exhausted,nan,nan
NVDA_2023-01-01_2023-12-31,NVDA,20230101T0000,20231231T2359,391,not_queried_budget_exhausted,nan,nan
NVDA_2024-01-01_2024-12-31,NVDA,20240101T0000,20241231T2359,391,not_queried_budget_exhausted,nan,nan
NVDA_2025-01-01_2025-12-31,NVDA,20250101T0000,20251231T2359,391,not_queried_budget_exhausted,nan,nan
NVDA_2026-01-01_2026-05-11,NVDA,20260101T0000,20260511T2359,391,not_queried_budget_exhausted,nan,nan
PLTR_2025-11-04_2025-12-31,PLTR,20251104T0000,20251231T2359,12,not_queried_budget_exhausted,nan,nan
PLTR_2026-01-01_2026-05-12,PLTR,20260101T0000,20260512T2359,12,not_queried_budget_exhausted,nan,nan
PYPL_2023-08-05_2023-12-31,PYPL,20230805T0000,20231231T2359,99,not_queried_budget_exhausted,nan,nan
PYPL_2024-01-01_2024-12-31,PYPL,20240101T0000,20241231T2359,99,not_queried_budget_exhausted,nan,nan
PYPL_2025-01-01_2025-12-31,PYPL,20250101T0000,20251231T2359,99,not_queried_budget_exhausted,nan,nan
PYPL_2026-01-01_2026-05-05,PYPL,20260101T0000,20260505T2359,99,not_queried_budget_exhausted,nan,nan
ROKU_2026-04-08_2026-04-08,ROKU,20260408T0000,20260408T2359,1,not_queried_budget_exhausted,nan,nan
SHOP_2023-01-08_2023-12-31,SHOP,20230108T0000,20231231T2359,10,not_queried_budget_exhausted,nan,nan
SHOP_2024-01-01_2024-12-31,SHOP,20240101T0000,20241231T2359,10,not_queried_budget_exhausted,nan,nan
SHOP_2025-01-01_2025-12-31,SHOP,20250101T0000,20251231T2359,10,not_queried_budget_exhausted,nan,nan
SHOP_2026-01-01_2026-05-05,SHOP,20260101T0000,20260505T2359,10,not_queried_budget_exhausted,nan,nan
SMCI_2024-03-04_2024-12-31,SMCI,20240304T0000,20241231T2359,3,not_queried_budget_exhausted,nan,nan
SMCI_2025-01-01_2025-12-31,SMCI,20250101T0000,20251231T2359,3,not_queried_budget_exhausted,nan,nan
SMCI_2026-01-01_2026-01-23,SMCI,20260101T0000,20260123T2359,3,not_queried_budget_exhausted,nan,nan
SOFI_2025-04-29_2025-12-31,SOFI,20250429T0000,20251231T2359,61,not_queried_budget_exhausted,nan,nan
SOFI_2026-01-01_2026-05-11,SOFI,20260101T0000,20260511T2359,61,not_queried_budget_exhausted,nan,nan
SQ_2020-11-20_2020-12-31,SQ,20201120T0000,20201231T2359,4,not_queried_budget_exhausted,nan,nan
SQ_2021-01-01_2021-12-31,SQ,20210101T0000,20211231T2359,4,not_queried_budget_exhausted,nan,nan
SQ_2022-01-01_2022-12-31,SQ,20220101T0000,20221231T2359,4,not_queried_budget_exhausted,nan,nan
