event_id,ticker,company_name,event_date,av_query_success,window_pm1_article_count,window_pm1_top_source_domains,window_pm1_earnings_news_flag,window_pm1_analyst_news_flag,window_pm1_product_news_flag,window_pm1_legal_regulatory_news_flag,window_pm1_macro_sector_news_flag,window_pm1_major_news_flag,window_pm3_article_count,window_pm3_top_source_domains,window_pm3_earnings_news_flag,window_pm3_analyst_news_flag,window_pm3_product_news_flag,window_pm3_legal_regulatory_news_flag,window_pm3_macro_sector_news_flag,window_pm3_major_news_flag,window_pm5_article_count,window_pm5_top_source_domains,window_pm5_earnings_news_flag,window_pm5_analyst_news_flag,window_pm5_product_news_flag,window_pm5_legal_regulatory_news_flag,window_pm5_macro_sector_news_flag,window_pm5_major_news_flag,window_pm10_article_count,window_pm10_top_source_domains,window_pm10_earnings_news_flag,window_pm10_analyst_news_flag,window_pm10_product_news_flag,window_pm10_legal_regulatory_news_flag,window_pm10_macro_sector_news_flag,window_pm10_major_news_flag,av_news_confounded_flag,av_news_clean_flag,av_news_unknown_flag,reason_codes
1,TSLA,Tesla,2023-10-13,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
2,GOOGL,Alphabet,2023-10-13,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
3,AMZN,Amazon,2023-06-23,True,11,businesswire.com;etftrends.com;insidermonkey.com;androidpolice.com;bizjournals.com,True,False,True,False,True,True,17,app.com;whathifi.com;foxbusiness.com;talkbusiness.net;businesswire.com,True,False,True,True,True,True,28,bizjournals.com;reuters.com;jdcorporateblog.com;ndtvprofit.com;app.com,True,False,True,True,True,True,66,marketbeat.com;reuters.com;bizjournals.com;businesswire.com;retaildive.com,True,True,True,True,True,True,True,False,False,real_news_overlap_detected
4,NVDA,Nvidia,2023-06-23,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
5,TSLA,Tesla,2023-06-23,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
6,PYPL,PayPal,2026-03-07,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
7,MSFT,Microsoft,2026-02-06,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
8,UBER,Uber,2026-02-06,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
9,NVDA,Nvidia,2026-02-06,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
10,NFLX,Netflix,2026-02-06,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_ticker
