window,ticker,n,mean_abnormal_spy
2M,CRM,2,-0.0819575
2M,DIS,37,0.043281918918918916
2M,GME,1,0.070489
2M,GOOGL,148,0.029308202702702704
2M,HOOD,1,0.00801
2M,META,51,-0.035652803921568624
2M,MSFT,155,-0.014650845161290324
2M,NFLX,44,0.027188909090909093
2M,NVDA,288,0.04236522569444444
2M,PLTR,4,-0.085394
2M,PYPL,46,-0.007813456521739131
2M,SHOP,10,0.0641043
2M,SMCI,3,-0.279115
2M,SOFI,19,-0.09142357894736841
2M,TSLA,486,0.04570361316872428
2M,UBER,27,-0.04117377777777778
2W,AAPL,195,0.004358251282051282
2W,AMC,54,-0.5601233333333334
2W,AMD,201,0.03840420895522388
2W,AMZN,147,0.00965361224489796
2W,COIN,3,-0.172142
2W,CRM,2,-0.032357000000000004
2W,DIS,37,0.021539054054054055
2W,GME,1,0.049526
2W,GOOGL,152,0.01171775
2W,HOOD,1,0.022826
2W,META,62,-0.013914983870967741
2W,MSFT,158,-0.008862006329113924
2W,NFLX,47,0.013062893617021275
2W,NVDA,306,0.016050013071895426
2W,PLTR,5,-0.09960240000000001
2W,PYPL,46,0.02855852173913043
2W,SHOP,10,0.0245314
2W,SMCI,3,-0.072767
2W,SOFI,29,0.004494310344827586
2W,TSLA,502,-0.007136625498007968
2W,UBER,28,-0.016875785714285715
2Y,AAPL,110,-0.02795666363636364
2Y,AMC,48,-1.3810406249999998
2Y,AMD,56,0.15136435714285715
2Y,AMZN,44,0.30850375
2Y,DIS,30,-0.39327
2Y,GOOGL,58,0.43037796551724133
2Y,MSFT,79,-0.07850008860759494
2Y,NFLX,16,1.0398219375
2Y,NVDA,75,1.80247852
2Y,PYPL,3,-0.654131
2Y,SHOP,3,1.194949
2Y,SMCI,3,-1.05903
2Y,TSLA,346,0.730408598265896
3M,AAPL,187,0.008949759358288772
3M,AMC,54,-0.6155480555555556
3M,AMD,180,0.0683540611111111
3M,AMZN,120,0.042457216666666665
3M,COIN,3,-0.505126
3M,CRM,2,-0.1390315
3M,DIS,37,0.03022654054054054
3M,GME,1,0.055518
3M,GOOGL,146,0.05082465753424657
3M,HOOD,1,-0.091341
3M,META,42,-0.03235528571428571
3M,MSFT,147,-0.011198809523809524
3M,NFLX,43,0.06275979069767441
3M,NVDA,262,0.1046246145038168
3M,PLTR,4,-0.324882
3M,PYPL,31,-0.1265116129032258
3M,SHOP,9,0.06273466666666666
3M,SMCI,3,-0.316189
3M,SOFI,11,-0.09293490909090908
3M,TSLA,479,0.08169416492693111
3M,UBER,27,-0.080506
3W,AAPL,195,-0.00414385641025641
3W,AMC,54,-0.5451995
3W,AMD,198,0.031584237373737375
3W,AMZN,144,0.010207909722222222
3W,COIN,3,-0.173252
3W,CRM,2,-0.0252025
3W,DIS,37,0.014158297297297298
3W,GME,1,0.033823
3W,GOOGL,149,0.016716208053691277
3W,HOOD,1,0.048609
3W,META,60,-0.01022785
3W,MSFT,158,-0.013820892405063291
3W,NFLX,47,-0.0009808936170212772
3W,NVDA,301,0.023703039867109636
3W,PLTR,5,-0.137126
3W,PYPL,46,0.01719539130434783
3W,SHOP,10,0.0887665
3W,SMCI,3,-0.047101
3W,SOFI,27,-0.025725222222222222
3W,TSLA,499,-0.0024736492985971926
3W,UBER,28,-0.032941678571428566
6M,AAPL,180,0.002909383333333332
6M,AMC,54,-0.8542181111111111
6M,AMD,124,0.11590097580645162
6M,AMZN,105,0.058384057142857146
6M,COIN,3,-0.46480499999999997
