window,creator,n,mean_abnormal_spy
END_OF_SAMPLE,Minority Mindset,3,0.041472
END_OF_SAMPLE,New Money,84,0.3037424642857143
END_OF_SAMPLE,"Parkev Tatevosian, CFA",16,-0.0401135625
END_OF_SAMPLE,STOCK UP! with LARRY JONES,30,-0.0227778
END_OF_SAMPLE,Sasha Yanshin,140,1.0571973214285713
END_OF_SAMPLE,Stock Moe,5,0.1431384
END_OF_SAMPLE,The Investor Channel,115,0.3616009043478261
END_OF_SAMPLE,The Plain Bagel,30,1.0771205
END_OF_SAMPLE,The Swedish Investor,7,0.17412757142857144
END_OF_SAMPLE,Ticker Symbol: YOU,196,1.3397745612244898
END_OF_SAMPLE,Tom Nash,51,0.5672182352941176
END_OF_SAMPLE,"Value Investing with Sven Carlin, Ph.D.",20,0.13694730000000002
END_OF_SAMPLE,ZipTrader,91,-0.561079032967033
PRE_1M,Ale's World of Stocks,50,0.02884462
PRE_1M,Best of Us Investors,20,0.036860800000000006
PRE_1M,Bloomberg Television,9,-0.009860333333333336
PRE_1M,CNBC Television,9,-0.0010006666666666666
PRE_1M,Chicken Genius Singapore,63,0.09638280952380954
PRE_1M,Chris Sain,15,0.08966353333333334
PRE_1M,Couch Investor,111,-0.030240189189189193
PRE_1M,Daniel Pronk,62,-0.01686643548387097
PRE_1M,Dividend Bull,1,-0.251206
PRE_1M,Dividendology,7,0.023784142857142858
PRE_1M,Dumb Money Live,18,0.052835
PRE_1M,Everything Money,86,-0.022593511627906977
PRE_1M,Financial Education,171,0.030834304093567248
PRE_1M,Graham Stephan,18,0.03940133333333334
PRE_1M,HyperChange,225,-0.11077674666666666
PRE_1M,Investing with Tom,7,-0.01829071428571428
PRE_1M,Jose Najarro Stocks,148,0.014725486486486486
PRE_1M,Joseph Carlson,132,0.004237181818181819
PRE_1M,Kenan Grace,24,0.045650625
PRE_1M,Learn to Invest - Investors Grow,18,0.010605722222222223
PRE_1M,"Mark Roussin, CPA",57,-0.024416491228070176
PRE_1M,Meet Kevin,29,-0.05761362068965517
PRE_1M,Minority Mindset,3,0.022001000000000003
PRE_1M,New Money,84,0.004163964285714286
PRE_1M,"Parkev Tatevosian, CFA",16,-0.049338812499999996
PRE_1M,STOCK UP! with LARRY JONES,30,-0.0106516
PRE_1M,Sasha Yanshin,140,-0.030672178571428572
PRE_1M,Stock Moe,5,-0.0181266
PRE_1M,The Investor Channel,115,0.01841553043478261
PRE_1M,The Plain Bagel,30,0.1495033
PRE_1M,The Swedish Investor,7,-0.05379842857142857
PRE_1M,Ticker Symbol: YOU,196,0.007234188775510205
PRE_1M,Tom Nash,51,0.08769888235294117
PRE_1M,"Value Investing with Sven Carlin, Ph.D.",20,0.011191249999999998
PRE_1M,ZipTrader,91,-0.06499313186813188
PRE_1W,Ale's World of Stocks,50,-0.0144909
PRE_1W,Best of Us Investors,20,-0.0066483
PRE_1W,Bloomberg Television,9,-0.08541466666666667
PRE_1W,CNBC Television,9,8.500000000000174e-05
PRE_1W,Chicken Genius Singapore,63,0.02694685714285714
PRE_1W,Chris Sain,15,0.030218599999999998
PRE_1W,Couch Investor,111,-0.006258945945945946
PRE_1W,Daniel Pronk,62,-0.014845967741935483
PRE_1W,Dividend Bull,1,-0.064658
PRE_1W,Dividendology,7,0.016458714285714285
PRE_1W,Dumb Money Live,18,0.015660333333333335
PRE_1W,Everything Money,86,-0.0024643372093023255
PRE_1W,Financial Education,171,0.0028719590643274846
PRE_1W,Graham Stephan,18,-0.0054540000000000005
PRE_1W,HyperChange,225,-0.038330546666666666
PRE_1W,Investing with Tom,7,-0.025386142857142857
PRE_1W,Jose Najarro Stocks,148,-0.003661006756756756
PRE_1W,Joseph Carlson,132,-0.00332725
PRE_1W,Kenan Grace,24,0.017375625000000002
PRE_1W,Learn to Invest - Investors Grow,18,0.011571277777777778
PRE_1W,"Mark Roussin, CPA",57,-0.005515912280701754
PRE_1W,Meet Kevin,29,-0.013390793103448274
PRE_1W,Minority Mindset,3,0.004788
PRE_1W,New Money,84,0.0037891785714285705
PRE_1W,"Parkev Tatevosian, CFA",16,-0.0380033125
