feature_set,target,status,n_train,n_test,accuracy,auc
analyst_only_time,bottom_quartile_21d,computed,1625,697,0.7733142037302726,0.5117892956952631
analyst_only_creator_out,bottom_quartile_21d,computed,1552,770,0.8103896103896104,0.5013061995082543
analyst_only_ticker_out,bottom_quartile_21d,computed,810,1512,0.7533068783068783,0.513859106925552
transcript_only,bottom_quartile_21d,computed,1625,697,0.7431850789096126,0.49229956213196435
transcript_only_time,bottom_quartile_21d,computed,1625,697,0.7733142037302726,0.5053545008337053
transcript_only_creator_out,bottom_quartile_21d,computed,1552,770,0.8103896103896104,0.4751931858096241
transcript_only_ticker_out,bottom_quartile_21d,computed,810,1512,0.7533068783068783,0.5120631662692687
creator_only,bottom_quartile_21d,computed,1625,697,0.7431850789096126,0.5777215763249284
creator_only_time,bottom_quartile_21d,computed,1625,697,0.7733142037302726,0.560484723233367
creator_only_creator_out,bottom_quartile_21d,computed,1552,770,0.8103896103896104,0.5428631015103618
creator_only_ticker_out,bottom_quartile_21d,computed,810,1512,0.7533068783068783,0.4163899003641311
market_plus_analyst,bottom_quartile_21d,computed,1056,453,0.7439293598233996,0.5287782666530236
market_plus_analyst_time,bottom_quartile_21d,computed,1056,453,0.7571743929359823,0.47451728184339664
market_plus_analyst_creator_out,bottom_quartile_21d,computed,875,634,0.8012618296529969,0.49327796604776225
market_plus_analyst_ticker_out,bottom_quartile_21d,computed,538,971,0.7693099897013388,0.5181290638745457
market_plus_transcript,bottom_quartile_21d,computed,1056,453,0.7439293598233996,0.5395477335516218
market_plus_transcript_time,bottom_quartile_21d,computed,1056,453,0.7571743929359823,0.4953861745252827
market_plus_transcript_creator_out,bottom_quartile_21d,computed,875,634,0.8012618296529969,0.4879957997231636
market_plus_transcript_ticker_out,bottom_quartile_21d,computed,538,971,0.7693099897013388,0.5235973656530886
full_model,bottom_quartile_21d,computed,1056,453,0.7439293598233996,0.5612017804154302
full_model_time,bottom_quartile_21d,computed,1056,453,0.7571743929359823,0.5008134200981438
full_model_creator_out,bottom_quartile_21d,computed,875,634,0.8012618296529969,0.4799054937711804
