horizon,spec,mean,t_stat,p_value,n
5D,raw,0.0006350032743213214,0.4964085406405443,0.6196062005652796,2322
5D,winsor_1_99,0.00044089456285018307,0.3648539370477946,0.7152204403276681,2322
5D,winsor_5_95,0.0006779476117870947,0.7068164341311983,0.47968056036916407,2322
21D,raw,0.0031728652593852537,1.17639242563614,0.2394380970937402,2322
21D,winsor_1_99,0.004888703971667455,2.075023003737806,0.037984402838653786,2322
21D,winsor_5_95,0.000902036586141988,0.479702681862603,0.6314388206539943,2322
