as_of,spy_prior_21d_return,spy_prior_63d_return,spy_drawdown_from_63d_high,vix_level,vix_percentile_1y,vix_change_5d,vix_change_21d,sentiment_regime,event_id,ticker,top5_flag,high_confidence,vix_tercile,spy_trend_regime
2025-11-26,-0.010741389886481434,0.050305805625829425,-0.0112163887186022,17.19,0.4722222222222222,-6.469999999999999,0.7699999999999996,neutral,488,TSLA,True,True,vix_mid_tercile,spy_downtrend_21d
2024-07-23,0.017024532838235018,0.11175576742303273,-0.019615434092966733,14.72,0.6666666666666666,1.5300000000000011,1.3900000000000006,neutral,489,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-07-23,0.017024532838235018,0.11175576742303273,-0.019615434092966733,14.72,0.6666666666666666,1.5300000000000011,1.3900000000000006,neutral,490,GOOGL,False,False,vix_low_tercile,spy_uptrend_21d
2024-07-23,0.017024532838235018,0.11175576742303273,-0.019615434092966733,14.72,0.6666666666666666,1.5300000000000011,1.3900000000000006,neutral,491,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-07-23,0.017024532838235018,0.11175576742303273,-0.019615434092966733,14.72,0.6666666666666666,1.5300000000000011,1.3900000000000006,neutral,492,AMZN,True,True,vix_low_tercile,spy_uptrend_21d
2024-04-24,-0.02762767371883934,0.04448037779547165,-0.033946957125127075,15.97,0.7222222222222222,-2.24,2.780000000000001,neutral,493,GOOGL,False,True,vix_low_tercile,spy_downtrend_21d
2024-04-30,-0.03864695197807422,0.025768855088828646,-0.040503089968154105,15.65,0.6984126984126984,-0.03999999999999915,2.0,risk_off,494,AMZN,True,True,vix_low_tercile,spy_downtrend_21d
2024-12-12,0.01244775271490206,0.0785994813600317,-0.005725418683762973,13.92,0.4246031746031746,0.3800000000000008,-0.09999999999999964,neutral,495,UBER,False,True,vix_low_tercile,spy_uptrend_21d
2024-07-18,0.013421409895414405,0.10766734807909573,-0.02159845824120077,15.93,0.7936507936507936,3.01,3.4499999999999993,neutral,496,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-07-18,0.013421409895414405,0.10766734807909573,-0.02159845824120077,15.93,0.7936507936507936,3.01,3.4499999999999993,neutral,497,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-07-18,0.013421409895414405,0.10766734807909573,-0.02159845824120077,15.93,0.7936507936507936,3.01,3.4499999999999993,neutral,498,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-04-30,-0.03864695197807422,0.025768855088828646,-0.040503089968154105,15.65,0.6984126984126984,-0.03999999999999915,2.0,risk_off,499,AMD,True,True,vix_low_tercile,spy_downtrend_21d
2024-12-30,-0.014411989081706933,0.028652669316445056,-0.028973304821405255,17.4,0.7777777777777778,-0.9600000000000009,3.4999999999999982,neutral,500,CRM,False,True,vix_mid_tercile,spy_downtrend_21d
2024-12-30,-0.014411989081706933,0.028652669316445056,-0.028973304821405255,17.4,0.7777777777777778,-0.9600000000000009,3.4999999999999982,neutral,501,AMD,True,False,vix_mid_tercile,spy_downtrend_21d
2025-01-07,-0.026454524692944736,0.04017449502722226,-0.028296521326704127,17.82,0.7896825396825397,0.4200000000000017,4.280000000000001,neutral,502,AAPL,True,True,vix_mid_tercile,spy_downtrend_21d
2025-11-19,-0.01290052390490437,0.045499342874326665,-0.03602039034918714,23.66,0.8809523809523809,6.149999999999999,5.789999999999999,neutral,503,NVDA,True,True,vix_high_tercile,spy_downtrend_21d
2024-07-24,-0.00278241251653899,0.07381773038285044,-0.04183360117141188,18.04,0.9206349206349206,3.5599999999999987,5.199999999999999,neutral,504,TSLA,True,True,vix_mid_tercile,spy_flat_21d
