relative_path,exists,git_tracked,git_ignored,size_bytes,size_mb,sha256,category,safe_to_commit,reason,required_for_reproduction,replacement_or_rebuild_command
data/raw/x/counts/20260511T234917Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T173020Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T195701Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T203341Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T205023Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T205453Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T215328Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T221229Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T223651Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260513T224026Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
