ticker,record_date,firm,to_grade,from_grade,action,source
META,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 11, 'buy': 50, 'hold': 6, 'sell': 0, ",,recommendation,yfinance_recommendations
META,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 11, 'buy': 51, 'hold': 5, 'sell': 0, ",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 11, 'buy': 41, 'hold': 3, 'sell': 0, '",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 9, 'buy': 42, 'hold': 3, 'sell': 0, '",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 45, 'hold': 3, 'sell': 0, ",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 10, 'buy': 44, 'hold': 3, 'sell': 0, ",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 8, 'buy': 29, 'hold': 13, 'sell': 0, '",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 8, 'buy': 29, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 27, 'hold': 13, 'sell': 0,",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 9, 'buy': 26, 'hold': 10, 'sell': 0, ",,recommendation,yfinance_recommendations
NVDA,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 10, 'buy': 48, 'hold': 2, 'sell': 1, '",,recommendation,yfinance_recommendations
NVDA,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 10, 'buy': 48, 'hold': 2, 'sell': 1, ",,recommendation,yfinance_recommendations
NVDA,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 48, 'hold': 2, 'sell': 1, ",,recommendation,yfinance_recommendations
NVDA,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 12, 'buy': 48, 'hold': 2, 'sell': 1, ",,recommendation,yfinance_recommendations
PLTR,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 1, 'buy': 18, 'hold': 10, 'sell': 1, '",,recommendation,yfinance_recommendations
PLTR,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 1, 'buy': 18, 'hold': 10, 'sell': 1, ",,recommendation,yfinance_recommendations
PLTR,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 1, 'buy': 16, 'hold': 10, 'sell': 1, ",,recommendation,yfinance_recommendations
PLTR,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 1, 'buy': 15, 'hold': 10, 'sell': 1, ",,recommendation,yfinance_recommendations
PYPL,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 3, 'buy': 5, 'hold': 32, 'sell': 4, 's",,recommendation,yfinance_recommendations
PYPL,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 4, 'buy': 6, 'hold': 30, 'sell': 4, '",,recommendation,yfinance_recommendations
PYPL,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 2, 'buy': 8, 'hold': 30, 'sell': 4, '",,recommendation,yfinance_recommendations
PYPL,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 2, 'buy': 8, 'hold': 30, 'sell': 4, '",,recommendation,yfinance_recommendations
ROKU,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 5, 'buy': 20, 'hold': 3, 'sell': 0, 's",,recommendation,yfinance_recommendations
ROKU,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 5, 'buy': 20, 'hold': 3, 'sell': 0, '",,recommendation,yfinance_recommendations
ROKU,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 5, 'buy': 20, 'hold': 5, 'sell': 0, '",,recommendation,yfinance_recommendations
ROKU,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 5, 'buy': 19, 'hold': 6, 'sell': 0, '",,recommendation,yfinance_recommendations
SOFI,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 3, 'buy': 5, 'hold': 12, 'sell': 2, 's",,recommendation,yfinance_recommendations
SOFI,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 3, 'buy': 5, 'hold': 12, 'sell': 2, '",,recommendation,yfinance_recommendations
SOFI,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 3, 'buy': 5, 'hold': 11, 'sell': 2, '",,recommendation,yfinance_recommendations
SOFI,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 3, 'buy': 5, 'hold': 10, 'sell': 2, '",,recommendation,yfinance_recommendations
TSLA,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 5, 'buy': 18, 'hold': 17, 'sell': 4, '",,recommendation,yfinance_recommendations
TSLA,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 5, 'buy': 18, 'hold': 17, 'sell': 4, ",,recommendation,yfinance_recommendations
TSLA,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 5, 'buy': 18, 'hold': 17, 'sell': 6, ",,recommendation,yfinance_recommendations
TSLA,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 4, 'buy': 16, 'hold': 17, 'sell': 6, ",,recommendation,yfinance_recommendations
UBER,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 9, 'buy': 35, 'hold': 7, 'sell': 1, 's",,recommendation,yfinance_recommendations
UBER,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 10, 'buy': 36, 'hold': 8, 'sell': 1, ",,recommendation,yfinance_recommendations
UBER,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 36, 'hold': 8, 'sell': 1, ",,recommendation,yfinance_recommendations
UBER,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 11, 'buy': 36, 'hold': 8, 'sell': 1, ",,recommendation,yfinance_recommendations
