strategy,holding_trading_days,weighting,model,n_days,alpha_daily,alpha_ann_approx,alpha_hac_se,alpha_t_hac,alpha_p_value,r_squared
equal_weighted_event_direction,63,capped,FF5,1566,0.001280,0.380277,0.000489,2.6190,0.008818,0.117275
equal_weighted_event_direction,63,capped,Carhart,1566,0.001250,0.369961,0.000484,2.5827,0.009804,0.120357
equal_weighted_event_direction,63,capped,FF5_MOM,1566,0.001246,0.368653,0.000485,2.5679,0.010233,0.124735
duplicate_collapsed_direction,5,ew,CAPM,1566,0.000816,0.228281,0.000460,1.7762,0.075695,0.087277
duplicate_collapsed_direction,5,ew,FF3,1566,0.000854,0.240085,0.000453,1.8839,0.059577,0.109418
duplicate_collapsed_direction,5,ew,FF5,1566,0.000871,0.245313,0.000457,1.9057,0.056690,0.111119
duplicate_collapsed_direction,5,ew,Carhart,1566,0.000843,0.236665,0.000453,1.8603,0.062848,0.110638
duplicate_collapsed_direction,5,ew,FF5_MOM,1566,0.000860,0.241823,0.000457,1.8820,0.059840,0.112212
duplicate_collapsed_direction,5,capped,CAPM,1566,0.000816,0.228281,0.000460,1.7762,0.075695,0.087277
duplicate_collapsed_direction,5,capped,FF3,1566,0.000854,0.240085,0.000453,1.8839,0.059577,0.109418
duplicate_collapsed_direction,5,capped,FF5,1566,0.000871,0.245313,0.000457,1.9057,0.056690,0.111119
duplicate_collapsed_direction,5,capped,Carhart,1566,0.000843,0.236665,0.000453,1.8603,0.062848,0.110638
duplicate_collapsed_direction,5,capped,FF5_MOM,1566,0.000860,0.241823,0.000457,1.8820,0.059840,0.112212
duplicate_collapsed_direction,21,ew,CAPM,1566,0.000089,0.022745,0.000436,0.2048,0.837743,0.182846
duplicate_collapsed_direction,21,ew,FF3,1566,0.000122,0.031203,0.000435,0.2805,0.779061,0.192188
duplicate_collapsed_direction,21,ew,FF5,1566,0.000137,0.035201,0.000437,0.3142,0.753388,0.193363
duplicate_collapsed_direction,21,ew,Carhart,1566,0.000106,0.027058,0.000433,0.2447,0.806674,0.194274
duplicate_collapsed_direction,21,ew,FF5_MOM,1566,0.000119,0.030479,0.000435,0.2737,0.784283,0.195696
duplicate_collapsed_direction,21,capped,CAPM,1566,0.000089,0.022745,0.000436,0.2048,0.837743,0.182846
duplicate_collapsed_direction,21,capped,FF3,1566,0.000122,0.031203,0.000435,0.2805,0.779061,0.192188
duplicate_collapsed_direction,21,capped,FF5,1566,0.000137,0.035201,0.000437,0.3142,0.753388,0.193363
duplicate_collapsed_direction,21,capped,Carhart,1566,0.000106,0.027058,0.000433,0.2447,0.806674,0.194274
duplicate_collapsed_direction,21,capped,FF5_MOM,1566,0.000119,0.030479,0.000435,0.2737,0.784283,0.195696
duplicate_collapsed_direction,63,ew,CAPM,1566,0.001058,0.305499,0.000521,2.0326,0.042091,0.103323
duplicate_collapsed_direction,63,ew,FF3,1566,0.001128,0.328456,0.000508,2.2178,0.026570,0.136246
duplicate_collapsed_direction,63,ew,FF5,1566,0.001139,0.332089,0.000510,2.2330,0.025549,0.139163
duplicate_collapsed_direction,63,ew,Carhart,1566,0.001109,0.322236,0.000505,2.1966,0.028048,0.138509
