event_id,ticker,control_type,offset_days,bhar_5d,bhar_21d
1,TSLA,treated,0,-0.13192857586237394,-0.12928997739315073
1,TSLA,shift_-90,-90,0.14883151230120273,0.21164164785388562
1,TSLA,shift_-60,-60,-0.028034217117186122,-0.14565820517826944
1,TSLA,shift_-30,-30,-0.026395255933449935,0.022704815523111654
1,TSLA,shift_+30,30,-0.006980684161598916,0.0546972072128602
1,TSLA,shift_+60,60,-0.09415087305356173,-0.22426952652196552
1,TSLA,random_placebo_0,-53,-0.04428825217273369,-0.019476437891836507
1,TSLA,random_placebo_1,-222,0.050447339888604725,-0.28367156027924256
1,TSLA,random_placebo_2,-760,0.03353438271472475,-0.008798081047485251
2,GOOGL,treated,0,0.011080243425697467,-0.05850550789272457
2,GOOGL,shift_-90,-90,-0.047496940920313535,-0.08988687618214763
2,GOOGL,shift_-60,-60,0.08488498895552055,0.1039717221106714
2,GOOGL,shift_-30,-30,0.012267411552039142,0.033125888156563144
2,GOOGL,shift_+60,60,0.008580921992961676,-0.0044732112457728235
2,GOOGL,shift_+90,90,-0.05721972623307414,0.01579102831655499
2,GOOGL,random_placebo_0,-366,0.015947802819546553,-0.005302604685235024
2,GOOGL,random_placebo_1,376,-0.002067959955453169,-0.04936429977910506
2,GOOGL,random_placebo_2,-525,-0.00041760932721823796,-0.0154260036477043
3,AMZN,treated,0,-0.015281169431339947,-0.05286109990797461
3,AMZN,shift_-30,-30,0.042424674710267896,0.07885793044170386
3,AMZN,shift_+60,60,-0.04663145927401213,-0.040790468377085554
3,AMZN,shift_+90,90,0.027494663067413327,0.006334385086985694
3,AMZN,random_placebo_0,133,0.018853498737666508,0.10268019394503214
3,AMZN,random_placebo_1,644,-0.004474378893183362,-0.135804203180392
3,AMZN,random_placebo_2,-575,-0.022283271592801412,0.035922225335334845
4,NVDA,treated,0,-0.021041902172050708,0.030895341861778114
4,NVDA,shift_-90,-90,-0.018718628553733963,0.1692223886457509
4,NVDA,shift_-60,-60,0.006454168644323133,-0.011595147040677434
4,NVDA,shift_-30,-30,0.03899887078020092,0.30105964644690264
4,NVDA,shift_+30,30,-0.03086966238552391,0.04624532843310536
4,NVDA,shift_+60,60,0.0010443653413917398,-0.0021875200919697635
4,NVDA,shift_+90,90,0.08211298458002791,0.05554171461650226
4,NVDA,random_placebo_0,361,0.0588176080200602,0.03036778788317185
4,NVDA,random_placebo_1,395,-0.08651068658567185,-0.017267427251232093
4,NVDA,random_placebo_2,-490,-0.0704892221099731,-0.04601242926618243
5,TSLA,treated,0,-0.0030972593338389753,-0.017487753221774982
5,TSLA,shift_-90,-90,0.0473083399697547,-0.01585871818897544
5,TSLA,shift_-60,-60,-0.01511982980516935,-0.19577754378374546
5,TSLA,shift_-30,-30,0.025800458841690466,0.4088027462858703
5,TSLA,shift_+60,60,-0.04596171283400696,-0.061145712870559144
5,TSLA,random_placebo_0,-637,0.02120758038847259,0.3052887167712435
5,TSLA,random_placebo_1,174,-0.053127494104740824,-0.12205681308854299
5,TSLA,random_placebo_2,-263,-0.0052668561596358465,0.07757331060932482
6,PYPL,treated,0,-0.0024083255312815632,-0.0061056504147442014
6,PYPL,shift_-90,-90,-0.02441598256601385,-0.11161179428904511
6,PYPL,shift_-30,-30,-0.07338555499956356,-0.16682371997118628
6,PYPL,random_placebo_0,-848,0.00915556604696266,-0.045011390491557
6,PYPL,random_placebo_1,-740,-0.006583169881743123,-0.0545266690115781
6,PYPL,random_placebo_2,-253,0.028826256751494972,-0.035343826828537095
7,MSFT,treated,0,0.013292244006999243,0.03328669697036246
7,MSFT,shift_-90,-90,0.015198981705753178,0.01815350174233199
7,MSFT,shift_-60,-60,0.026086929849196916,-0.061454800675683985
7,MSFT,shift_-30,-30,0.002145083478295229,-0.04096863627143521
7,MSFT,random_placebo_0,-70,-0.02448882692304788,-0.08599857616370077
7,MSFT,random_placebo_1,-1510,0.005142390604571556,0.006464679502614867
7,MSFT,random_placebo_2,-1134,0.0019481747197780397,0.030001499089405748
8,UBER,treated,0,-0.05108586174956453,-0.012771371859992109
8,UBER,shift_-90,-90,-0.006625605205639706,-0.07680658953193631
8,UBER,shift_-30,-30,0.0179187553788146,0.005540313067679659
8,UBER,random_placebo_0,-1377,0.026883594509642394,0.24105673288814988
8,UBER,random_placebo_1,-17,-0.001399929627398433,-0.14812233855463108
8,UBER,random_placebo_2,-1010,-0.02241799104551845,0.04440906076577189
9,NVDA,treated,0,-0.0011794369039952457,0.016009009039804845
9,NVDA,shift_-90,-90,0.008342857941649129,0.0702436882894093
9,NVDA,shift_-30,-30,-0.00554311923755757,-0.021414738733359084
9,NVDA,random_placebo_0,-378,0.05460372032574856,-0.007542630120429106
9,NVDA,random_placebo_1,-1242,-0.09996021497963148,-0.09949429312597968
9,NVDA,random_placebo_2,-1121,0.10010746813718252,0.07667889987959786
10,NFLX,treated,0,-0.05199827277921254,0.19877956348595638
10,NFLX,shift_-90,-90,-0.04767429267396217,-0.12135937843226063
10,NFLX,shift_-60,-60,0.007812849752440232,-0.1812795408537391
10,NFLX,shift_-30,-30,0.011560366056729277,-0.090355961371414
10,NFLX,random_placebo_0,-1148,-0.007411171768795355,-0.07110680194705676
10,NFLX,random_placebo_1,-1268,-0.0828541081400066,-0.09465170061590822
10,NFLX,random_placebo_2,-560,0.01864069402250923,-0.01807414499793447
11,NFLX,treated,0,0.0036390011373131914,-0.11093818975836012
11,NFLX,shift_-90,-90,-0.019926029344567664,0.1507369614534837
11,NFLX,shift_-60,-60,-0.04617442876339806,0.05118536204515567
11,NFLX,shift_-30,-30,0.11131391495734921,0.21178586469698257
11,NFLX,shift_+30,30,0.02646115207988764,-0.03971688544132079
11,NFLX,shift_+60,60,0.006502012730095319,0.1882325263396809
11,NFLX,shift_+90,90,0.009968418561237424,-0.026584480244104647
11,NFLX,random_placebo_0,587,0.034093812757305164,-0.005317755596834894
11,NFLX,random_placebo_1,616,-0.006381181867361252,0.028955700425168818
11,NFLX,random_placebo_2,421,0.07641790664080705,0.14630795060752821
12,AMZN,treated,0,0.03291224056878672,0.042834921709168805
12,AMZN,shift_-90,-90,-0.017460193278514113,-0.03964876781322435
12,AMZN,shift_-60,-60,-0.00786043100638012,0.03245232965994771
12,AMZN,shift_-30,-30,0.06137559385947977,0.1505782603038326
12,AMZN,shift_+30,30,0.07958089605957896,0.03764935073830167
12,AMZN,shift_+90,90,0.11635565213664312,0.1184229033684503
12,AMZN,random_placebo_0,-300,-0.013062041540899294,-0.1982637899640438
12,AMZN,random_placebo_1,224,-0.03503463846006594,-0.05220285783128065
12,AMZN,random_placebo_2,462,0.030711558732025024,0.05586326336785197
13,NFLX,treated,0,-0.018837021474056526,0.06981798981961695
13,NFLX,shift_-90,-90,-0.0020962035577237748,-0.12264260651033487
13,NFLX,shift_-60,-60,0.10617338306004376,0.0647222055422485
