actor_id,key_label,source_type,source_value,posts_returned,posts_imported,duplicates,usable_finance_posts,posts_with_cashtags,posts_with_created_at,posts_with_metrics,cost_usd,seconds,posts_per_dollar,failure_rate,field_quality_score,schema_quality_score,run_id,status,notes
scraper-engine/twitter-x-posts-scraper,,cashtag,$NVDA,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper-engine/twitter-x-posts-scraper,,cashtag,$AAPL,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper-engine/twitter-x-posts-scraper,,search,"(""$TSLA"" OR TSLA) (""buying"" OR ""buy"" OR ""bullish"" OR ""adding"" OR ""price target"" OR ""undervalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper-engine/twitter-x-posts-scraper,,search,"(""$NVDA"" OR NVDA) (""buying"" OR ""buy"" OR ""bullish"" OR ""AI"" OR ""price target"" OR ""overvalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper-engine/twitter-x-posts-scraper,,search,"(""$AAPL"" OR AAPL) (""buy"" OR ""sell"" OR ""hold"" OR ""earnings"" OR ""price target"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,apify_key_4,profile,GrahamStephan,0,0,0,0,0,0,0,0.0,0.372,0.0,1.0,0.0,0.0,,FAILED,"Apify start failed HTTP 400: {'error': {'type': 'invalid-input', 'message': 'Input is not valid: Field input.profileUrls is required'}}"
scraper_one/x-profile-posts-scraper,apify_key_5,profile,realMeetKevin,0,0,0,0,0,0,0,0.0,0.357,0.0,1.0,0.0,0.0,,FAILED,"Apify start failed HTTP 400: {'error': {'type': 'invalid-input', 'message': 'Input is not valid: Field input.profileUrls is required'}}"
scraper_one/x-profile-posts-scraper,,profile,EverythingMoney,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,cashtag,$TSLA,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,cashtag,$NVDA,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,cashtag,$AAPL,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,search,"(""$TSLA"" OR TSLA) (""buying"" OR ""buy"" OR ""bullish"" OR ""adding"" OR ""price target"" OR ""undervalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,search,"(""$NVDA"" OR NVDA) (""buying"" OR ""buy"" OR ""bullish"" OR ""AI"" OR ""price target"" OR ""overvalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
scraper_one/x-profile-posts-scraper,,search,"(""$AAPL"" OR AAPL) (""buy"" OR ""sell"" OR ""hold"" OR ""earnings"" OR ""price target"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
