metric,value
beginning_transcript_count,6387
ending_transcript_count,6387
new_transcripts_imported,0
beginning_accepted_recommendation_events,2147
ending_accepted_recommendation_events,2147
new_accepted_recommendation_events,0
conversion_rate_transcript_to_accepted_event,0.0
