event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,right_censored,beta_window,beta_observations,status
2,GOOGL,The Investor Channel,buy,2023-10-13,252D,FF5_MOM,0.087842,False,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,CAPM,-0.028530,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,21D,CAPM,-0.077062,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,63D,CAPM,0.023014,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,126D,CAPM,0.070709,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,252D,CAPM,0.145243,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,FF3,-0.015964,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,21D,FF3,-0.021726,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,63D,FF3,0.079848,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,126D,FF3,0.249343,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,252D,FF3,0.315832,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,FF5,-0.016543,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,21D,FF5,-0.038094,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,63D,FF5,-0.038178,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,126D,FF5,0.086593,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,252D,FF5,0.030326,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.011935,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,21D,Carhart,-0.040673,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,63D,Carhart,0.031836,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,126D,Carhart,0.203678,True,False,,False,252to21,232,computed
