sample,model,horizon,n,mean_alpha,mean_alpha_pct,standard_error,t_stat,p_value,win_rate,bh_q_value,regression_type
buy,FF5,63D,1372,0.005263,0.526%,0.005396,0.975,0.329442,0.473761,0.509446,event_level_beta_estimated_summary_not_hac_calendar_time
buy,FF5_MOM,21D,1593,-0.003729,-0.373%,0.002718,-1.372,0.170034,0.463277,0.351497,event_level_beta_estimated_summary_not_hac_calendar_time
buy,FF5_MOM,63D,1372,0.003835,0.383%,0.005431,0.706,0.480154,0.491254,0.645778,event_level_beta_estimated_summary_not_hac_calendar_time
sell,CAPM,21D,455,-0.020500,-2.050%,0.007041,-2.912,0.003596,0.413187,0.025686,event_level_beta_estimated_summary_not_hac_calendar_time
sell,CAPM,63D,388,-0.014776,-1.478%,0.011717,-1.261,0.207254,0.402062,0.403742,event_level_beta_estimated_summary_not_hac_calendar_time
sell,Carhart,21D,455,-0.014274,-1.427%,0.006734,-2.120,0.034041,0.432967,0.108641,event_level_beta_estimated_summary_not_hac_calendar_time
sell,Carhart,63D,388,0.003985,0.399%,0.011175,0.357,0.721359,0.458763,0.857100,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF3,21D,455,-0.013094,-1.309%,0.006669,-1.963,0.049612,0.439560,0.144658,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF3,63D,388,0.008132,0.813%,0.011106,0.732,0.464031,0.463918,0.632770,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF5,21D,455,-0.012973,-1.297%,0.006856,-1.892,0.058453,0.474725,0.152705,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF5,63D,388,0.006193,0.619%,0.011455,0.541,0.588753,0.461340,0.735941,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF5_MOM,21D,455,-0.014493,-1.449%,0.006762,-2.143,0.032088,0.457143,0.108641,event_level_beta_estimated_summary_not_hac_calendar_time
sell,FF5_MOM,63D,388,0.003733,0.373%,0.011514,0.324,0.745810,0.481959,0.860550,event_level_beta_estimated_summary_not_hac_calendar_time
