sample,model,horizon,n,mean_alpha,mean_alpha_pct,standard_error,t_stat,p_value,win_rate,bh_q_value
non_top,FF3,63D,682,-0.013278,-1.328%,0.006985,-1.901,0.057315,0.439883,0.152705
non_top,FF5,126D,532,-0.001348,-0.135%,0.012819,-0.105,0.916238,0.494361,0.962022
non_top,FF5,21D,814,-0.009776,-0.978%,0.004072,-2.401,0.016371,0.465602,0.081000
non_top,FF5,252D,424,0.053906,5.391%,0.016068,3.355,0.000794,0.570755,0.010136
non_top,FF5,5D,851,-0.001696,-0.170%,0.001766,-0.960,0.336859,0.473561,0.515601
non_top,FF5,63D,682,-0.007992,-0.799%,0.006769,-1.181,0.237738,0.447214,0.432453
non_top,FF5_MOM,126D,532,0.014690,1.469%,0.012537,1.172,0.241332,0.505639,0.432453
non_top,FF5_MOM,21D,814,-0.009981,-0.998%,0.003999,-2.496,0.012564,0.466830,0.072485
non_top,FF5_MOM,252D,424,0.090159,9.016%,0.016728,5.390,0.000000,0.629717,0.000000
non_top,FF5_MOM,5D,851,-0.001745,-0.175%,0.001750,-0.997,0.318624,0.464160,0.497850
non_top,FF5_MOM,63D,682,-0.005177,-0.518%,0.006829,-0.758,0.448355,0.447214,0.617002
buy,CAPM,126D,1135,0.001400,0.140%,0.009619,0.146,0.884301,0.458150,0.961197
buy,CAPM,21D,1593,-0.009809,-0.981%,0.002871,-3.417,0.000633,0.435656,0.010136
buy,CAPM,252D,927,0.004168,0.417%,0.015055,0.277,0.781887,0.437972,0.881827
buy,CAPM,5D,1645,-0.002026,-0.203%,0.001423,-1.424,0.154523,0.463830,0.331121
buy,CAPM,63D,1372,-0.011285,-1.129%,0.005461,-2.066,0.038789,0.407434,0.116367
buy,Carhart,126D,1135,0.016447,1.645%,0.009305,1.767,0.077146,0.468722,0.186644
buy,Carhart,21D,1593,-0.007126,-0.713%,0.002765,-2.577,0.009973,0.433145,0.059838
buy,Carhart,252D,927,0.045386,4.539%,0.015273,2.972,0.002963,0.483279,0.023392
buy,Carhart,5D,1645,-0.000497,-0.050%,0.001348,-0.369,0.712218,0.465653,0.854662
buy,Carhart,63D,1372,-0.001627,-0.163%,0.005276,-0.308,0.757737,0.465015,0.863253
buy,FF3,126D,1135,0.015941,1.594%,0.009208,1.731,0.083421,0.480176,0.195518
buy,FF3,21D,1593,-0.007428,-0.743%,0.002780,-2.672,0.007550,0.436911,0.049239
buy,FF3,252D,927,0.032094,3.209%,0.014712,2.181,0.029149,0.466019,0.108641
buy,FF3,5D,1645,-0.000415,-0.041%,0.001356,-0.306,0.759663,0.466261,0.863253
buy,FF3,63D,1372,0.000602,0.060%,0.005273,0.114,0.909118,0.462099,0.962022
buy,FF5,126D,1135,0.019729,1.973%,0.009494,2.078,0.037718,0.481938,0.116367
buy,FF5,21D,1593,-0.004359,-0.436%,0.002764,-1.577,0.114725,0.463905,0.253070
buy,FF5,252D,927,0.056292,5.629%,0.014330,3.928,0.000086,0.528587,0.002150
buy,FF5,5D,1645,-0.000184,-0.018%,0.001353,-0.136,0.891666,0.481459,0.962022
buy,FF5,63D,1372,0.005263,0.526%,0.005396,0.975,0.329442,0.473761,0.509446
buy,FF5_MOM,126D,1135,0.020842,2.084%,0.009638,2.162,0.030585,0.483700,0.108641
buy,FF5_MOM,21D,1593,-0.003729,-0.373%,0.002718,-1.372,0.170034,0.463277,0.351497
buy,FF5_MOM,252D,927,0.065765,6.576%,0.014885,4.418,0.000010,0.544768,0.000300
buy,FF5_MOM,5D,1645,-0.000277,-0.028%,0.001342,-0.206,0.836668,0.480851,0.929631
buy,FF5_MOM,63D,1372,0.003835,0.383%,0.005431,0.706,0.480154,0.491254,0.645778
sell,CAPM,126D,331,-0.001121,-0.112%,0.020262,-0.055,0.955888,0.422961,0.975396
sell,CAPM,21D,455,-0.020500,-2.050%,0.007041,-2.912,0.003596,0.413187,0.025686
sell,CAPM,252D,276,-0.018740,-1.874%,0.031160,-0.601,0.547571,0.449275,0.700051
sell,CAPM,5D,474,-0.006687,-0.669%,0.002925,-2.286,0.022254,0.453586,0.092725
sell,CAPM,63D,388,-0.014776,-1.478%,0.011717,-1.261,0.207254,0.402062,0.403742
sell,Carhart,126D,331,0.026599,2.660%,0.019432,1.369,0.171062,0.453172,0.351497
sell,Carhart,21D,455,-0.014274,-1.427%,0.006734,-2.120,0.034041,0.432967,0.108641
sell,Carhart,252D,276,0.030200,3.020%,0.032319,0.934,0.350086,0.481884,0.525129
sell,Carhart,5D,474,-0.003173,-0.317%,0.002781,-1.141,0.253772,0.478903,0.432566
sell,Carhart,63D,388,0.003985,0.399%,0.011175,0.357,0.721359,0.458763,0.857100
sell,FF3,126D,331,0.024732,2.473%,0.019202,1.288,0.197741,0.471299,0.390278
sell,FF3,21D,455,-0.013094,-1.309%,0.006669,-1.963,0.049612,0.439560,0.144658
sell,FF3,252D,276,0.018673,1.867%,0.031293,0.597,0.550707,0.452899,0.700051
sell,FF3,5D,474,-0.003551,-0.355%,0.002873,-1.236,0.216554,0.472574,0.411178
sell,FF3,63D,388,0.008132,0.813%,0.011106,0.732,0.464031,0.463918,0.632770
sell,FF5,126D,331,0.016539,1.654%,0.019912,0.831,0.406203,0.471299,0.585870
sell,FF5,21D,455,-0.012973,-1.297%,0.006856,-1.892,0.058453,0.474725,0.152705
sell,FF5,252D,276,0.026978,2.698%,0.030088,0.897,0.369923,0.510870,0.538723
sell,FF5,5D,474,-0.003068,-0.307%,0.002906,-1.056,0.291101,0.497890,0.468468
sell,FF5,63D,388,0.006193,0.619%,0.011455,0.541,0.588753,0.461340,0.735941
sell,FF5_MOM,126D,331,0.022248,2.225%,0.020004,1.112,0.266054,0.480363,0.443423
sell,FF5_MOM,21D,455,-0.014493,-1.449%,0.006762,-2.143,0.032088,0.457143,0.108641
sell,FF5_MOM,252D,276,0.041555,4.156%,0.031502,1.319,0.187132,0.518116,0.374264
sell,FF5_MOM,5D,474,-0.002656,-0.266%,0.002819,-0.942,0.346069,0.512658,0.524347
sell,FF5_MOM,63D,388,0.003733,0.373%,0.011514,0.324,0.745810,0.481959,0.860550
low_lookahead,CAPM,126D,498,-0.000049,-0.005%,0.014597,-0.003,0.997320,0.439759,0.997320
low_lookahead,CAPM,21D,647,-0.002773,-0.277%,0.004331,-0.640,0.522034,0.448223,0.675044
low_lookahead,CAPM,252D,369,-0.070757,-7.076%,0.021401,-3.306,0.000946,0.363144,0.010136
low_lookahead,CAPM,5D,687,-0.000408,-0.041%,0.001756,-0.232,0.816379,0.449782,0.913857
low_lookahead,CAPM,63D,561,-0.002709,-0.271%,0.008006,-0.338,0.735071,0.390374,0.857983
low_lookahead,Carhart,126D,498,0.017079,1.708%,0.014388,1.187,0.235214,0.455823,0.432453
low_lookahead,Carhart,21D,647,0.001706,0.171%,0.004212,0.405,0.685437,0.454405,0.835899
low_lookahead,Carhart,252D,369,-0.051320,-5.132%,0.022996,-2.232,0.025634,0.422764,0.103689
low_lookahead,Carhart,5D,687,0.001433,0.143%,0.001753,0.817,0.413932,0.468705,0.591331
low_lookahead,Carhart,63D,561,0.006200,0.620%,0.007818,0.793,0.427784,0.452763,0.605355
low_lookahead,FF3,126D,498,0.024665,2.466%,0.014112,1.748,0.080490,0.489960,0.191643
low_lookahead,FF3,21D,647,0.002340,0.234%,0.004210,0.556,0.578375,0.448223,0.729044
low_lookahead,FF3,252D,369,-0.040323,-4.032%,0.021309,-1.892,0.058458,0.409214,0.152705
low_lookahead,FF3,5D,687,0.000740,0.074%,0.001722,0.430,0.667559,0.448326,0.820769
low_lookahead,FF3,63D,561,0.012501,1.250%,0.007879,1.587,0.112572,0.452763,0.253070
low_lookahead,FF5,126D,498,0.031492,3.149%,0.014788,2.130,0.033206,0.477912,0.108641
low_lookahead,FF5,21D,647,0.004778,0.478%,0.004160,1.149,0.250724,0.503864,0.432453
low_lookahead,FF5,252D,369,0.003546,0.355%,0.020878,0.170,0.865140,0.506775,0.954199
low_lookahead,FF5,5D,687,0.001208,0.121%,0.001720,0.703,0.482181,0.491994,0.645778
low_lookahead,FF5,63D,561,0.014427,1.443%,0.008493,1.699,0.089376,0.465241,0.206252
low_lookahead,FF5_MOM,126D,498,0.027488,2.749%,0.015203,1.808,0.070602,0.479920,0.173611
low_lookahead,FF5_MOM,21D,647,0.005044,0.504%,0.004109,1.228,0.219607,0.506955,0.411763
low_lookahead,FF5_MOM,252D,369,-0.001776,-0.178%,0.022113,-0.080,0.935993,0.501355,0.962022
low_lookahead,FF5_MOM,5D,687,0.002007,0.201%,0.001739,1.154,0.248566,0.494905,0.432453
low_lookahead,FF5_MOM,63D,561,0.009842,0.984%,0.008556,1.150,0.250000,0.483066,0.432453
