news_coverage_quality_score,horizon,n,mean_spy_bhar
0,5D,1605,0.00011633056197583596
0,21D,1605,0.0016681797240622736
0,63D,1605,0.024687717821272187
2,5D,671,0.0014132820173042087
2,21D,671,0.005151972741928186
2,63D,671,0.08447821047605594
4,5D,46,0.007379452551994943
4,21D,46,0.02680415142040867
4,63D,46,0.0719888965588509
