provider,event_id,ticker,query_status,error_class_safe
alpha_vantage_news,1,TSLA,unknown_or_limited,
alpha_vantage_news,2,GOOGL,unknown_or_limited,
alpha_vantage_news,4,NVDA,unknown_or_limited,
alpha_vantage_news,5,TSLA,unknown_or_limited,
alpha_vantage_news,6,PYPL,unknown_or_limited,
alpha_vantage_news,7,MSFT,unknown_or_limited,
alpha_vantage_news,8,UBER,unknown_or_limited,
alpha_vantage_news,9,NVDA,unknown_or_limited,
alpha_vantage_news,10,NFLX,unknown_or_limited,
alpha_vantage_news,11,NFLX,unknown_or_limited,
alpha_vantage_news,13,NFLX,unknown_or_limited,
alpha_vantage_news,14,NVDA,unknown_or_limited,
alpha_vantage_news,15,TSLA,unknown_or_limited,
alpha_vantage_news,16,GOOGL,unknown_or_limited,
alpha_vantage_news,17,TSLA,unknown_or_limited,
alpha_vantage_news,18,TSLA,unknown_or_limited,
alpha_vantage_news,21,NVDA,unknown_or_limited,
alpha_vantage_news,22,NVDA,unknown_or_limited,
alpha_vantage_news,23,DIS,unknown_or_limited,
alpha_vantage_news,25,MSFT,unknown_or_limited,
alpha_vantage_news,28,NVDA,unknown_or_limited,
alpha_vantage_news,29,NFLX,unknown_or_limited,
alpha_vantage_news,30,MSFT,unknown_or_limited,
alpha_vantage_news,31,NFLX,unknown_or_limited,
alpha_vantage_news,32,NFLX,unknown_or_limited,
alpha_vantage_news,33,MSFT,unknown_or_limited,
alpha_vantage_news,42,MSFT,unknown_or_limited,
alpha_vantage_news,43,MSFT,unknown_or_limited,
alpha_vantage_news,44,NVDA,unknown_or_limited,
alpha_vantage_news,45,MSFT,unknown_or_limited,
alpha_vantage_news,48,UBER,unknown_or_limited,
alpha_vantage_news,49,PYPL,unknown_or_limited,
alpha_vantage_news,50,MSFT,unknown_or_limited,
alpha_vantage_news,51,MSFT,unknown_or_limited,
alpha_vantage_news,52,TSLA,unknown_or_limited,
alpha_vantage_news,53,MSFT,unknown_or_limited,
alpha_vantage_news,54,NVDA,unknown_or_limited,
alpha_vantage_news,56,NVDA,unknown_or_limited,
alpha_vantage_news,57,NVDA,unknown_or_limited,
alpha_vantage_news,58,TSLA,unknown_or_limited,
alpha_vantage_news,60,NVDA,unknown_or_limited,
alpha_vantage_news,61,GOOGL,unknown_or_limited,
alpha_vantage_news,62,TSLA,unknown_or_limited,
alpha_vantage_news,63,MSFT,unknown_or_limited,
alpha_vantage_news,64,GOOGL,unknown_or_limited,
alpha_vantage_news,65,TSLA,unknown_or_limited,
alpha_vantage_news,66,SOFI,unknown_or_limited,
alpha_vantage_news,67,NVDA,unknown_or_limited,
alpha_vantage_news,68,NFLX,unknown_or_limited,
alpha_vantage_news,69,NVDA,unknown_or_limited,
alpha_vantage_news,70,MSFT,unknown_or_limited,
alpha_vantage_news,71,DIS,unknown_or_limited,
alpha_vantage_news,72,UBER,unknown_or_limited,
alpha_vantage_news,73,NFLX,unknown_or_limited,
alpha_vantage_news,74,NFLX,unknown_or_limited,
alpha_vantage_news,75,GOOGL,unknown_or_limited,
alpha_vantage_news,76,NVDA,unknown_or_limited,
alpha_vantage_news,77,MSFT,unknown_or_limited,
alpha_vantage_news,79,DIS,unknown_or_limited,
alpha_vantage_news,80,PYPL,unknown_or_limited,
alpha_vantage_news,81,META,unknown_or_limited,
alpha_vantage_news,82,DIS,unknown_or_limited,
alpha_vantage_news,84,GOOGL,unknown_or_limited,
alpha_vantage_news,85,NVDA,unknown_or_limited,
alpha_vantage_news,86,NVDA,unknown_or_limited,
alpha_vantage_news,87,GOOGL,unknown_or_limited,
alpha_vantage_news,88,META,unknown_or_limited,
alpha_vantage_news,89,GOOGL,unknown_or_limited,
alpha_vantage_news,90,GOOGL,unknown_or_limited,
alpha_vantage_news,93,NFLX,unknown_or_limited,
alpha_vantage_news,94,NVDA,unknown_or_limited,
alpha_vantage_news,95,MSFT,unknown_or_limited,
alpha_vantage_news,96,NVDA,unknown_or_limited,
alpha_vantage_news,97,NVDA,unknown_or_limited,
alpha_vantage_news,99,MSFT,unknown_or_limited,
alpha_vantage_news,100,NVDA,unknown_or_limited,
alpha_vantage_news,101,NVDA,unknown_or_limited,
alpha_vantage_news,102,NVDA,unknown_or_limited,
alpha_vantage_news,103,NFLX,unknown_or_limited,
alpha_vantage_news,104,MSFT,unknown_or_limited,
alpha_vantage_news,106,GOOGL,unknown_or_limited,
alpha_vantage_news,107,TSLA,unknown_or_limited,
alpha_vantage_news,108,TSLA,unknown_or_limited,
alpha_vantage_news,109,NVDA,unknown_or_limited,
alpha_vantage_news,110,TSLA,unknown_or_limited,
alpha_vantage_news,112,META,unknown_or_limited,
alpha_vantage_news,113,MSFT,unknown_or_limited,
alpha_vantage_news,114,NVDA,unknown_or_limited,
alpha_vantage_news,115,NVDA,unknown_or_limited,
alpha_vantage_news,117,NVDA,unknown_or_limited,
alpha_vantage_news,118,GOOGL,unknown_or_limited,
alpha_vantage_news,120,TSLA,unknown_or_limited,
alpha_vantage_news,121,GOOGL,unknown_or_limited,
alpha_vantage_news,122,MSFT,unknown_or_limited,
alpha_vantage_news,125,GOOGL,unknown_or_limited,
alpha_vantage_news,126,GOOGL,unknown_or_limited,
alpha_vantage_news,127,NVDA,unknown_or_limited,
alpha_vantage_news,128,GOOGL,unknown_or_limited,
alpha_vantage_news,129,GOOGL,unknown_or_limited,
alpha_vantage_news,132,PYPL,unknown_or_limited,
alpha_vantage_news,134,TSLA,unknown_or_limited,
alpha_vantage_news,135,NVDA,unknown_or_limited,
alpha_vantage_news,138,PYPL,unknown_or_limited,
alpha_vantage_news,139,PYPL,unknown_or_limited,
alpha_vantage_news,140,SOFI,unknown_or_limited,
alpha_vantage_news,141,GOOGL,unknown_or_limited,
alpha_vantage_news,144,GOOGL,unknown_or_limited,
alpha_vantage_news,145,TSLA,unknown_or_limited,
alpha_vantage_news,146,TSLA,unknown_or_limited,
alpha_vantage_news,147,NVDA,unknown_or_limited,
alpha_vantage_news,149,NVDA,unknown_or_limited,
alpha_vantage_news,151,NVDA,unknown_or_limited,
alpha_vantage_news,152,MSFT,unknown_or_limited,
alpha_vantage_news,153,MSFT,unknown_or_limited,
alpha_vantage_news,154,MSFT,unknown_or_limited,
alpha_vantage_news,155,MSFT,unknown_or_limited,
alpha_vantage_news,156,MSFT,unknown_or_limited,
alpha_vantage_news,157,MSFT,unknown_or_limited,
alpha_vantage_news,158,TSLA,unknown_or_limited,
alpha_vantage_news,159,TSLA,unknown_or_limited,
alpha_vantage_news,160,NVDA,unknown_or_limited,
alpha_vantage_news,161,NVDA,unknown_or_limited,
alpha_vantage_news,163,GOOGL,unknown_or_limited,
alpha_vantage_news,165,MSFT,unknown_or_limited,
alpha_vantage_news,166,MSFT,unknown_or_limited,
alpha_vantage_news,168,MSFT,unknown_or_limited,
alpha_vantage_news,169,NVDA,unknown_or_limited,
alpha_vantage_news,170,TSLA,unknown_or_limited,
alpha_vantage_news,171,NVDA,unknown_or_limited,
alpha_vantage_news,174,GOOGL,unknown_or_limited,
alpha_vantage_news,176,UBER,unknown_or_limited,
alpha_vantage_news,177,MSFT,unknown_or_limited,
alpha_vantage_news,178,NVDA,unknown_or_limited,
alpha_vantage_news,181,NVDA,unknown_or_limited,
alpha_vantage_news,182,SHOP,unknown_or_limited,
alpha_vantage_news,183,NVDA,unknown_or_limited,
