ticker,n_planned,n_ok,n_failed
AAPL,231,0,231
AMC,20,0,20
AMD,187,0,187
AMZN,246,0,246
COIN,1,0,1
CRM,5,0,5
DIS,32,0,32
GME,1,0,1
GOOGL,240,0,240
HOOD,9,0,9
META,112,0,112
MSFT,226,0,226
NFLX,92,0,92
NVDA,391,0,391
PLTR,12,0,12
PYPL,99,0,99
ROKU,1,0,1
SHOP,10,0,10
SMCI,3,0,3
SOFI,61,0,61
SQ,4,0,4
TGT,1,0,1
TSLA,307,0,307
UBER,50,0,50
