horizon,benchmark,method,statistic,p_value,estimate,n
END_OF_SAMPLE,IWM,sign_flip_permutation,,0.001,0.286911,471
PRE_1M,SPY,t_test,0.001552,0.99876196,9e-06,471
PRE_1M,SPY,wilcoxon_signed_rank,,0.14776569,-0.009531,471
PRE_1M,SPY,sign_flip_permutation,,0.999,9e-06,471
PRE_1M,QQQ,t_test,-0.446694,0.65530141,-0.002573,471
PRE_1M,QQQ,wilcoxon_signed_rank,,0.05758684,-0.008942,471
PRE_1M,QQQ,sign_flip_permutation,,0.675,-0.002573,471
PRE_1M,IWM,t_test,-0.669324,0.5036173,-0.004125,471
PRE_1M,IWM,wilcoxon_signed_rank,,0.04070518,-0.009276,471
PRE_1M,IWM,sign_flip_permutation,,0.525,-0.004125,471
PRE_1W,SPY,t_test,-0.910136,0.3632172,-0.002562,471
PRE_1W,SPY,wilcoxon_signed_rank,,0.21339339,-0.001631,471
PRE_1W,SPY,sign_flip_permutation,,0.381,-0.002562,471
PRE_1W,QQQ,t_test,-1.269179,0.20500542,-0.003437,471
PRE_1W,QQQ,wilcoxon_signed_rank,,0.09416479,-0.002402,471
PRE_1W,QQQ,sign_flip_permutation,,0.214,-0.003437,471
PRE_1W,IWM,t_test,-1.21752,0.22401736,-0.003522,471
PRE_1W,IWM,wilcoxon_signed_rank,,0.1072769,-0.003034,471
PRE_1W,IWM,sign_flip_permutation,,0.234,-0.003522,471
PRE_3M,SPY,t_test,0.312166,0.7550525,0.003039,471
PRE_3M,SPY,wilcoxon_signed_rank,,0.11162536,-0.023538,471
PRE_3M,SPY,sign_flip_permutation,,0.76,0.003039,471
PRE_3M,QQQ,t_test,-0.473094,0.63636549,-0.004397,471
PRE_3M,QQQ,wilcoxon_signed_rank,,0.01474142,-0.02917,471
PRE_3M,QQQ,sign_flip_permutation,,0.65,-0.004397,471
PRE_3M,IWM,t_test,-0.527913,0.59780903,-0.005341,471
PRE_3M,IWM,wilcoxon_signed_rank,,0.04568356,-0.03391,471
PRE_3M,IWM,sign_flip_permutation,,0.615,-0.005341,471
