date,gross_return,net_return,active_positions,portfolio_type,holding_period
2020-05-26,-0.0024360442933193394,-0.0034360442933193394,1,equal_weight_all_recommendations,5D
2020-05-27,-0.0016608447192640874,-0.0016608447192640874,1,equal_weight_all_recommendations,5D
2020-05-28,0.017580381620416863,0.017580381620416863,1,equal_weight_all_recommendations,5D
2020-05-29,-0.03622440280883765,-0.03622440280883765,1,equal_weight_all_recommendations,5D
2020-06-01,-0.07556883131087,-0.07656883131087,1,equal_weight_all_recommendations,5D
2020-06-16,-0.008850490655781473,-0.009850490655781474,1,equal_weight_all_recommendations,5D
2020-06-17,0.009835722116904755,0.009835722116904755,1,equal_weight_all_recommendations,5D
2020-06-18,0.012270733625858066,0.012270733625858066,1,equal_weight_all_recommendations,5D
2020-06-19,-0.0030478518902198326,-0.0030478518902198326,1,equal_weight_all_recommendations,5D
2020-06-22,-0.0065740925163715325,-0.0075740925163715325,1,equal_weight_all_recommendations,5D
2021-06-07,0.010149431698305733,0.009149431698305732,1,equal_weight_all_recommendations,5D
2021-06-08,-0.002544921741878703,-0.002544921741878703,1,equal_weight_all_recommendations,5D
2021-06-09,-0.007968981371759054,-0.007968981371759054,1,equal_weight_all_recommendations,5D
2021-06-10,0.018938501740255687,0.018938501740255687,1,equal_weight_all_recommendations,5D
2021-06-11,-0.0003770180312155924,-0.0013770180312155924,1,equal_weight_all_recommendations,5D
2021-12-13,-0.04977243020772959,-0.05077243020772959,1,equal_weight_all_recommendations,5D
2021-12-14,-0.008174578197676308,-0.008174578197676308,1,equal_weight_all_recommendations,5D
2021-12-15,0.018236618133556703,0.018236618133556703,1,equal_weight_all_recommendations,5D
2021-12-16,-0.050277132790258694,-0.050277132790258694,1,equal_weight_all_recommendations,5D
2021-12-17,0.006095449446181567,0.005095449446181567,1,equal_weight_all_recommendations,5D
2022-01-03,-0.1353166841897706,-0.1363166841897706,1,equal_weight_all_recommendations,5D
2022-01-04,0.041832696836128,0.041832696836128,1,equal_weight_all_recommendations,5D
2022-01-05,0.05347121367683638,0.05347121367683638,1,equal_weight_all_recommendations,5D
2022-01-06,0.02152337383085412,0.02152337383085412,1,equal_weight_all_recommendations,5D
2022-01-07,0.035446567451716815,0.034446567451716814,1,equal_weight_all_recommendations,5D
2022-02-18,-0.0074623379232992,-0.008462337923299201,1,equal_weight_all_recommendations,5D
2022-02-22,-0.019790460789778863,-0.019790460789778863,1,equal_weight_all_recommendations,5D
2022-02-23,-0.017963081173505202,-0.017963081173505202,1,equal_weight_all_recommendations,5D
2022-02-24,0.04610722861446659,0.04610722861446659,1,equal_weight_all_recommendations,5D
2022-02-25,0.013872754352842964,0.012872754352842963,1,equal_weight_all_recommendations,5D
2022-06-07,0.013953727495588764,0.012953727495588763,1,equal_weight_all_recommendations,5D
2022-06-08,-0.007669708100646266,-0.007669708100646266,1,equal_weight_all_recommendations,5D
2022-06-09,-0.020783357670826508,-0.020783357670826508,1,equal_weight_all_recommendations,5D
2022-06-10,-0.04456344247162558,-0.04456344247162558,1,equal_weight_all_recommendations,5D
2022-06-13,-0.04241278878276322,-0.04341278878276322,1,equal_weight_all_recommendations,5D
2022-08-22,-0.036243902638259384,-0.037243902638259385,1,equal_weight_all_recommendations,5D
2022-08-23,0.003002506326521548,0.003002506326521548,1,equal_weight_all_recommendations,5D
2022-08-24,0.001347163157822573,0.001347163157822573,1,equal_weight_all_recommendations,5D
2022-08-25,0.026008936084948253,0.026008936084948253,1,equal_weight_all_recommendations,5D
2022-08-26,-0.04756700784791723,-0.04856700784791723,1,equal_weight_all_recommendations,5D
2022-09-21,-0.017959231064378023,-0.018959231064378024,2,equal_weight_all_recommendations,5D
2022-09-22,-0.053727679078678314,-0.053727679078678314,2,equal_weight_all_recommendations,5D
2022-09-23,-0.034052929503118556,-0.034052929503118556,2,equal_weight_all_recommendations,5D
2022-09-26,-0.010978113528198497,-0.010978113528198497,2,equal_weight_all_recommendations,5D
2022-09-27,0.019114928109911666,0.018114928109911665,2,equal_weight_all_recommendations,5D
2022-10-03,0.029683047099003046,0.028683047099003045,1,equal_weight_all_recommendations,5D
2022-10-04,0.044373531579910974,0.044373531579910974,1,equal_weight_all_recommendations,5D
2022-10-05,-0.00630914340807065,-0.00630914340807065,1,equal_weight_all_recommendations,5D
2022-10-06,-0.007539696066339863,-0.007539696066339863,1,equal_weight_all_recommendations,5D
2022-10-07,-0.028788540755241843,-0.029788540755241844,1,equal_weight_all_recommendations,5D
2022-10-18,0.004083757387352671,0.003083757387352671,2,equal_weight_all_recommendations,5D
