sample_mode,horizon,benchmark,N,mean_abnormal_return,median_abnormal_return,standard_deviation,standard_error,t_stat,p_value,win_rate,bootstrap_ci_lower,bootstrap_ci_upper
uncapped_full,6M,SECTOR,276,0.066417,0.010066,0.319125,0.019209,3.4576,0.0006313,0.518116,0.030565,0.102843
uncapped_full,END_OF_SAMPLE,SPY,471,0.264184,0.024486,1.046196,0.048206,5.4803,7e-08,0.541401,0.177928,0.362849
uncapped_full,END_OF_SAMPLE,QQQ,471,0.131485,-0.06356,1.01285,0.04667,2.8174,0.00504601,0.409766,0.048144,0.227501
uncapped_full,END_OF_SAMPLE,IWM,471,0.286911,0.021071,1.088327,0.050147,5.7214,2e-08,0.522293,0.19838,0.389995
uncapped_full,END_OF_SAMPLE,SECTOR,469,0.225995,-0.01714,0.999025,0.046131,4.899,1.33e-06,0.473348,0.142777,0.324986
uncapped_full,PRE_1M,SPY,471,9e-06,-0.009531,0.132165,0.00609,0.0016,0.99876196,0.475584,-0.011712,0.012636
uncapped_full,PRE_1M,QQQ,471,-0.002573,-0.008942,0.125025,0.005761,-0.4467,0.65530141,0.452229,-0.014225,0.00927
uncapped_full,PRE_1M,IWM,471,-0.004125,-0.009276,0.13376,0.006163,-0.6693,0.5036173,0.460722,-0.016473,0.008501
uncapped_full,PRE_1M,SECTOR,469,0.004516,-0.005631,0.115177,0.005318,0.8491,0.39628377,0.460554,-0.005702,0.014914
uncapped_full,PRE_1W,SPY,471,-0.002562,-0.001631,0.061082,0.002815,-0.9101,0.3632172,0.471338,-0.008512,0.002719
uncapped_full,PRE_1W,QQQ,471,-0.003437,-0.002402,0.058771,0.002708,-1.2692,0.20500542,0.469214,-0.009051,0.00173
uncapped_full,PRE_1W,IWM,471,-0.003522,-0.003034,0.062784,0.002893,-1.2175,0.22401736,0.458599,-0.009386,0.001727
uncapped_full,PRE_1W,SECTOR,469,-0.0015,-0.002215,0.052566,0.002427,-0.6181,0.53681927,0.462687,-0.006319,0.002931
uncapped_full,PRE_3M,SPY,471,0.003039,-0.023538,0.211271,0.009735,0.3122,0.7550525,0.428875,-0.015222,0.022976
uncapped_full,PRE_3M,QQQ,471,-0.004397,-0.02917,0.201698,0.009294,-0.4731,0.63636549,0.41189,-0.022284,0.014496
uncapped_full,PRE_3M,IWM,471,-0.005341,-0.03391,0.219585,0.010118,-0.5279,0.59780903,0.424628,-0.025282,0.014739
uncapped_full,PRE_3M,SECTOR,469,0.008312,-0.013267,0.18932,0.008742,0.9508,0.3421964,0.452026,-0.008707,0.025308
