specification,n_1d,mean_1d_ar,t_1d,p_1d,n_5d,mean_5d_ar,t_5d,p_5d,median_5d_ar,win_rate_5d,notes
v1 locked sample reference,1516,0.002728,3.251,0.001149,1503,0.005236,3.195,0.001396,0.000421,,"historical v1 benchmark, not v2 primary"
v2 all accepted events,2322,-0.000024,-0.029,0.976636,2299,0.000556,0.431,0.666561,-0.001417,0.482819,all accepted/extracted live DB events
