specification,n_1d,mean_1d_ar,t_1d,p_1d,n_5d,mean_5d_ar,t_5d,p_5d,median_5d_ar,win_rate_5d,notes
v2 top-5 tickers,1362,0.003050,3.263,0.001104,1356,0.004234,2.377,0.017462,0.000421,0.506637,
v2 non-top tickers,960,-0.004384,-3.113,0.001850,943,-0.004733,-2.615,0.008921,-0.004526,0.448568,
