creator,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
Everything Money,126D,34,-0.019690,-0.752,0.452287,0.021617,0.5588,21
Everything Money,21D,34,-0.010415,-0.678,0.498070,-0.015638,0.4412,2
Everything Money,252D,34,0.003250,0.083,0.933574,0.021617,0.6176,31
Everything Money,504D,34,0.011577,0.284,0.776441,0.021617,0.6176,34
Everything Money,5D,34,0.012581,1.036,0.300138,-0.006851,0.4412,0
Everything Money,63D,34,-0.033750,-2.015,0.043947,-0.032562,0.3235,14
Everything Money,end_of_sample,34,0.011577,0.284,0.776441,0.021617,0.6176,0
Financial Education,126D,63,0.237483,4.501,0.000007,0.103109,0.5714,34
Financial Education,21D,63,0.099467,3.416,0.000636,0.017726,0.6032,8
Financial Education,252D,63,0.486503,5.684,0.000000,0.241822,0.7143,45
Financial Education,504D,63,0.603940,5.704,0.000000,0.311488,0.7143,63
Financial Education,5D,63,0.035193,3.433,0.000598,-0.005071,0.4762,2
Financial Education,63D,63,0.105709,2.687,0.007209,-0.002839,0.4921,14
Financial Education,end_of_sample,63,0.603940,5.704,0.000000,0.311488,0.7143,0
Graham Stephan,126D,6,0.002257,0.035,0.971937,0.028266,0.5000,5
Graham Stephan,21D,6,0.019079,0.278,0.781273,-0.018145,0.5000,0
Graham Stephan,252D,6,0.006659,0.100,0.920110,0.028266,0.5000,6
Graham Stephan,504D,6,0.006659,0.100,0.920110,0.028266,0.5000,6
Graham Stephan,5D,6,-0.025619,-1.551,0.120961,-0.041627,0.3333,0
Graham Stephan,63D,6,-0.005832,-0.072,0.942208,-0.018263,0.5000,2
Graham Stephan,end_of_sample,6,0.006659,0.100,0.920110,0.028266,0.5000,0
HyperChange,126D,76,0.083774,2.639,0.008314,-0.013173,0.4474,0
HyperChange,21D,76,-0.066361,-4.436,0.000009,-0.132981,0.2895,0
HyperChange,252D,76,0.361760,8.062,0.000000,0.454784,0.7632,0
HyperChange,504D,76,0.489790,7.708,0.000000,0.514475,0.7895,4
HyperChange,5D,76,-0.008080,-0.616,0.537587,-0.021034,0.4605,0
HyperChange,63D,76,-0.034838,-1.254,0.209770,-0.093427,0.3553,0
HyperChange,end_of_sample,76,0.484293,7.229,0.000000,0.450761,0.8158,0
Investing with Tom,126D,15,0.060216,1.622,0.104893,0.042311,0.6667,0
Investing with Tom,21D,15,0.007828,0.564,0.573065,0.008711,0.6667,0
Investing with Tom,252D,15,0.091838,1.890,0.058748,0.049749,0.6667,0
Investing with Tom,504D,15,0.061200,0.675,0.499788,0.000793,0.7333,0
Investing with Tom,5D,15,-0.005007,-0.612,0.540865,0.003725,0.6667,0
Investing with Tom,63D,15,-0.017155,-0.496,0.619858,-0.042100,0.4000,0
Investing with Tom,end_of_sample,15,0.271660,1.286,0.198534,0.015381,0.5333,0
Jose Najarro Stocks,126D,270,0.147364,6.356,0.000000,0.078110,0.5889,170
Jose Najarro Stocks,21D,270,0.002322,0.338,0.735679,-0.002172,0.4926,20
Jose Najarro Stocks,252D,270,0.234732,7.936,0.000000,0.114049,0.6889,270
Jose Najarro Stocks,504D,270,0.234732,7.936,0.000000,0.114049,0.6889,270
Jose Najarro Stocks,5D,270,-0.001289,-0.394,0.693640,-0.003126,0.4630,1
Jose Najarro Stocks,63D,270,0.115268,6.157,0.000000,0.019829,0.5667,60
Jose Najarro Stocks,end_of_sample,270,0.234732,7.936,0.000000,0.114049,0.6889,0
Joseph Carlson,126D,44,0.039644,1.372,0.170050,0.081243,0.5909,0
Joseph Carlson,21D,44,0.013959,1.484,0.137883,0.030616,0.5455,0
Joseph Carlson,252D,44,0.079340,1.405,0.159890,0.007451,0.6818,0
Joseph Carlson,504D,44,0.088047,0.997,0.318981,-0.049500,0.2727,0
