creator,n,mean_car_1d_pct,mean_car_5d_pct,median_car_pct,win_rate_1d_pct,t_stat_1d,p_value_1d,t_stat_5d,p_value_5d,significance_flag
"Mark Roussin, CPA",6,1.1900000000000002,4.769933333333333,1.2334,83.33333333333334,1.988374048266164,0.10346474107910031,1.1662743967392535,0.2961019118378494,
"Parkev Tatevosian, CFA",5,0.14924000000000004,0.37433999999999995,0.8487,60.0,0.23908745474489934,0.8227883040153618,0.24543526176888017,0.8181977056793368,
Couch Investor,7,-0.7261428571428572,-6.565799999999999,0.1109,57.14285714285714,-0.9176115249623195,0.39421129636149255,-1.9814494298538525,0.09483322469411215,*
