event_id,ticker,creator,top5_flag,event_date,pre_63_22_proxy,pre_21_2_proxy,pre_5_1_proxy,post_5,post_21,post_63,momentum_tag_21d
1,TSLA,The Investor Channel,True,2023-10-13,-0.0956805546854618,-0.0517790188378383,-0.0406818071460163,-0.1319285758623739,-0.1292899773931507,-0.2293945695877423,continuation_or_stack
2,GOOGL,The Investor Channel,False,2023-10-13,0.1414872459682554,0.0331392634842148,-0.0061620994398148,0.0110802434256974,-0.0585055078927245,-0.0677643625657855,continuation_or_stack
3,AMZN,The Investor Channel,True,2023-06-23,0.2042699744639424,0.0746470037277209,0.0350450447281011,-0.0152811694313399,-0.0528610999079746,0.0013115575030188,reversal_or_contrast
4,NVDA,The Investor Channel,True,2023-06-23,0.4465440113328855,0.3255063996293006,0.0071701763249961,-0.0210419021720507,0.0308953418617781,-0.0111747384263215,continuation_or_stack
5,TSLA,The Investor Channel,True,2023-06-23,0.2289970938886893,0.3312183960954873,0.0203153388759124,-0.0030972593338389,-0.0174877532217749,-0.0427388421797764,reversal_or_contrast
6,PYPL,"Parkev Tatevosian, CFA",False,2026-03-07,-0.2439497084629046,0.1594356538242352,0.0264935942334542,-0.0024083255312815,-0.0061056504147442,-0.117552781767553,reversal_or_contrast
7,MSFT,"Parkev Tatevosian, CFA",False,2026-02-06,-0.2298227689088613,-0.1717978661409567,-0.0657940718793973,0.0132922440069992,0.0332866969703624,-0.0337590417244471,reversal_or_contrast
8,UBER,"Parkev Tatevosian, CFA",False,2026-02-06,-0.2161111666936377,-0.1340061129587774,-0.0640079156155526,-0.0510858617495645,-0.0127713718599921,-0.0618771429187807,continuation_or_stack
9,NVDA,"Parkev Tatevosian, CFA",True,2026-02-06,-0.0724062349758603,-0.0210734063365006,-0.0279763657672648,-0.0011794369039952,0.0160090090398048,0.0897620578473552,reversal_or_contrast
10,NFLX,"Parkev Tatevosian, CFA",False,2026-02-06,-0.273936339618021,-0.095523356955827,-0.0135000258772556,-0.0519982727792125,0.1987795634859563,-0.0066164593783804,reversal_or_contrast
11,NFLX,The Investor Channel,False,2023-02-10,0.2683697612870124,0.0297643222888295,-0.0402174394075067,0.0036390011373131,-0.1109381897583601,-0.0340547494923311,continuation_or_stack
12,AMZN,The Investor Channel,True,2023-06-16,0.1371810333749965,0.0242089689944347,-0.0093454276180164,0.0329122405687867,0.0428349217091688,0.1024175042633541,reversal_or_contrast
13,NFLX,The Investor Channel,False,2023-06-16,0.2922266429497548,0.2083355892635492,0.0023921948627256,-0.0188370214740565,0.0698179898196169,-0.1000023579287698,continuation_or_stack
14,NVDA,The Investor Channel,True,2023-06-16,0.528689245560553,0.3525348040859428,0.0751258031893118,-0.0300029291797274,0.0668958829170562,0.0168766182434187,continuation_or_stack
15,TSLA,The Investor Channel,True,2023-06-16,0.3153645755868053,0.4362775863126165,0.0400043120096551,-0.0565565046327461,0.0820921722257195,0.0051430971270403,continuation_or_stack
16,GOOGL,"Mark Roussin, CPA",False,2024-01-08,-0.1002244902949178,0.0199766486645305,-0.0045912216279576,0.025593969194386,-0.0012582562866898,0.0302907425958629,continuation_or_stack
17,TSLA,"Mark Roussin, CPA",True,2024-01-08,-0.1864564105013344,-0.0433469315153483,-0.0308227954190354,-0.0861184717602928,-0.269394746068418,-0.3620057226762254,continuation_or_stack
18,TSLA,"Mark Roussin, CPA",True,2023-08-18,0.17315241588571,-0.1456582051782694,-0.0913988612936883,0.0992479353305317,0.2189120773362387,0.0489015943626081,reversal_or_contrast
19,AAPL,"Mark Roussin, CPA",True,2023-08-18,-0.0469156061401935,-0.0606188147699036,0.0019705313793927,0.0156621074074359,0.0084439032620715,0.0535651108945873,continuation_or_stack
20,AMZN,The Investor Channel,True,2023-03-03,-0.0129797366506391,-0.0813891297326595,-0.0047299405780416,0.0012852210879638,0.0585306864248831,0.2465222146068777,reversal_or_contrast
21,NVDA,Jose Najarro Stocks,True,2025-08-27,0.2437058825728675,0.0168007262677329,0.0219958354420899,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955,reversal_or_contrast
22,NVDA,Jose Najarro Stocks,True,2025-08-27,0.2437058825728675,0.0168007262677329,0.0219958354420899,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955,reversal_or_contrast
23,DIS,The Investor Channel,False,2023-10-06,-0.0389981714331879,0.0604255025206724,0.0185000920496145,0.0124370861394758,-0.0012961948501992,-0.0019752844582083,reversal_or_contrast
24,AMD,The Investor Channel,True,2023-10-06,-0.036248067181604,0.0371082906811172,0.0381689312063437,-0.0246116157680794,0.0277376490818777,0.2537279928479219,continuation_or_stack
25,MSFT,The Investor Channel,False,2023-10-06,0.007887476309068,0.0229774405553118,0.0316341341950658,-0.0031269907362971,0.075122187658265,0.0378717957408261,continuation_or_stack
26,AAPL,The Investor Channel,True,2023-10-06,-0.0381151784139568,0.0306159280422926,0.0318613853373508,0.0030993425602778,-0.004514289250955,-0.0625379667683057,reversal_or_contrast
