sample,model,horizon,right_censored,n,mean,standard_error,median,t_stat,p_value,win_rate,notes
low_lookahead,Carhart,126D,160,694,0.045681,0.014944,-0.012308,3.057,0.002238,0.4957,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,CAPM,252D,314,694,0.227736,0.019140,0.124731,11.899,0.000000,0.6830,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF3,252D,314,694,0.186553,0.018825,0.101022,9.910,0.000000,0.6527,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF5,252D,314,694,0.208206,0.019460,0.127200,10.699,0.000000,0.6902,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,Carhart,252D,314,694,0.107759,0.019323,0.015747,5.577,0.000000,0.5202,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,CAPM,504D,512,694,0.357205,0.025332,0.190951,14.101,0.000000,0.7104,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF3,504D,512,694,0.288534,0.025349,0.108822,11.383,0.000000,0.6455,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF5,504D,512,694,0.319902,0.026090,0.153501,12.261,0.000000,0.6830,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,Carhart,504D,512,694,0.165949,0.025186,0.007562,6.589,0.000000,0.5115,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,CAPM,end_of_sample,0,694,0.523349,0.038612,0.232736,13.554,0.000000,0.7334,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF3,end_of_sample,0,694,0.434222,0.038691,0.128658,11.223,0.000000,0.6628,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,FF5,end_of_sample,0,694,0.475162,0.038659,0.175608,12.291,0.000000,0.6787,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
low_lookahead,Carhart,end_of_sample,0,694,0.279328,0.037798,0.001136,7.390,0.000000,0.5014,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,5D,0,1545,0.000755,0.001403,-0.001776,0.538,0.590268,0.4783,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,5D,0,1545,-0.001364,0.001659,-0.003977,-0.822,0.410916,0.4757,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,5D,0,1545,-0.002115,0.001903,-0.002118,-1.111,0.266448,0.4874,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,5D,0,1545,-0.004292,0.001662,-0.007164,-2.583,0.009798,0.4447,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,10D,0,1545,0.004046,0.002029,-0.002053,1.994,0.046192,0.4861,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,10D,0,1545,0.001735,0.002356,-0.004226,0.736,0.461590,0.4796,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,10D,0,1545,0.001526,0.002680,-0.002030,0.569,0.569123,0.4939,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,10D,0,1545,-0.003973,0.002353,-0.009164,-1.689,0.091297,0.4589,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,21D,0,1545,0.010048,0.002872,0.001029,3.499,0.000467,0.5036,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,21D,0,1545,0.008319,0.003325,0.000183,2.502,0.012345,0.5016,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,21D,0,1545,0.010275,0.003759,0.008522,2.733,0.006268,0.5282,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,21D,0,1545,-0.003284,0.003349,-0.011470,-0.980,0.326891,0.4608,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,42D,22,1545,0.036317,0.004477,0.005846,8.112,0.000000,0.5230,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,42D,22,1545,0.030607,0.004973,0.004833,6.154,0.000000,0.5113,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,42D,22,1545,0.034943,0.005516,0.017262,6.335,0.000000,0.5469,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,42D,22,1545,0.009359,0.005083,-0.014408,1.841,0.065585,0.4608,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,63D,125,1545,0.065340,0.005847,0.023616,11.175,0.000000,0.5702,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,63D,125,1545,0.056185,0.006354,0.021096,8.843,0.000000,0.5366,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,63D,125,1545,0.061442,0.006937,0.047245,8.857,0.000000,0.5832,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,63D,125,1545,0.026097,0.006553,-0.007836,3.982,0.000068,0.4803,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,126D,395,1545,0.125131,0.008698,0.069363,14.386,0.000000,0.6298,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,126D,395,1545,0.106913,0.009124,0.058948,11.718,0.000000,0.5903,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,126D,395,1545,0.114460,0.009481,0.073354,12.073,0.000000,0.6194,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,126D,395,1545,0.053829,0.009472,0.010847,5.683,0.000000,0.5087,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,252D,672,1545,0.222034,0.012416,0.125770,17.883,0.000000,0.6660,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,252D,672,1545,0.198003,0.012586,0.106787,15.732,0.000000,0.6479,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,252D,672,1545,0.222152,0.013005,0.130483,17.081,0.000000,0.6809,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,252D,672,1545,0.111044,0.012756,0.016115,8.705,0.000000,0.5256,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,504D,1050,1545,0.376508,0.017681,0.211466,21.294,0.000000,0.7243,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,504D,1050,1545,0.326285,0.018167,0.142997,17.960,0.000000,0.6712,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,504D,1050,1545,0.368538,0.018856,0.187600,19.545,0.000000,0.6958,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,504D,1050,1545,0.191347,0.017926,0.026254,10.675,0.000000,0.5294,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,CAPM,end_of_sample,0,1545,0.560837,0.027026,0.254922,20.752,0.000000,0.7489,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF3,end_of_sample,0,1545,0.481702,0.027501,0.166041,17.516,0.000000,0.6809,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,FF5,end_of_sample,0,1545,0.530982,0.028029,0.204420,18.944,0.000000,0.6893,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
duplicate_collapsed,Carhart,end_of_sample,0,1545,0.315911,0.026704,0.032852,11.830,0.000000,0.5333,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,5D,0,1257,0.002115,0.001461,-0.000319,1.447,0.147799,0.4956,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,5D,0,1257,-0.000740,0.001756,-0.002342,-0.421,0.673697,0.4877,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,5D,0,1257,-0.000999,0.002001,-0.000479,-0.500,0.617376,0.4996,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,5D,0,1257,-0.003294,0.001787,-0.004482,-1.843,0.065354,0.4558,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,10D,0,1257,0.003637,0.002111,-0.002932,1.723,0.084915,0.4821,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,10D,0,1257,0.000056,0.002546,-0.003801,0.022,0.982309,0.4821,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,10D,0,1257,0.001376,0.002857,-0.005420,0.482,0.630112,0.4829,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,10D,0,1257,-0.004897,0.002545,-0.007014,-1.924,0.054370,0.4733,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,21D,0,1257,0.006526,0.003079,0.004140,2.119,0.034059,0.5195,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,21D,0,1257,0.005650,0.003599,0.000183,1.570,0.116449,0.5044,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,21D,0,1257,0.009293,0.004063,0.008522,2.287,0.022194,0.5251,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,21D,0,1257,-0.005894,0.003581,-0.011470,-1.646,0.099769,0.4710,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,42D,17,1257,0.031620,0.004935,0.004600,6.407,0.000000,0.5195,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,42D,17,1257,0.025922,0.005364,-0.005120,4.833,0.000001,0.4829,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,42D,17,1257,0.031098,0.005932,0.011143,5.242,0.000000,0.5251,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,42D,17,1257,0.002894,0.005491,-0.020141,0.527,0.598187,0.4471,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,63D,96,1257,0.048142,0.005829,0.017681,8.258,0.000000,0.5585,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,63D,96,1257,0.039417,0.006436,0.007209,6.124,0.000000,0.5139,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,63D,96,1257,0.043492,0.007179,0.028582,6.059,0.000000,0.5569,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,63D,96,1257,0.009099,0.006641,-0.015042,1.370,0.170594,0.4582,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,126D,312,1257,0.113690,0.009334,0.046709,12.180,0.000000,0.6078,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,126D,312,1257,0.096904,0.009808,0.044045,9.880,0.000000,0.5839,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,126D,312,1257,0.102985,0.010203,0.057667,10.094,0.000000,0.6189,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,126D,312,1257,0.045578,0.010192,-0.001453,4.472,0.000008,0.4980,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,252D,527,1257,0.217829,0.012780,0.136875,17.044,0.000000,0.6969,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,252D,527,1257,0.194494,0.013092,0.118834,14.856,0.000000,0.6683,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,252D,527,1257,0.217842,0.013590,0.128006,16.030,0.000000,0.6913,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,252D,527,1257,0.108964,0.013203,0.031479,8.253,0.000000,0.5394,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,504D,843,1257,0.365268,0.017754,0.208863,20.574,0.000000,0.7311,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,504D,843,1257,0.317963,0.018485,0.137897,17.202,0.000000,0.6889,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,504D,843,1257,0.359985,0.019445,0.177464,18.513,0.000000,0.7192,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,504D,843,1257,0.183590,0.018216,0.021197,10.078,0.000000,0.5290,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,CAPM,end_of_sample,0,1257,0.544719,0.025516,0.263939,21.348,0.000000,0.7788,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF3,end_of_sample,0,1257,0.467359,0.026153,0.173573,17.870,0.000000,0.7120,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,FF5,end_of_sample,0,1257,0.517843,0.026818,0.217597,19.309,0.000000,0.7247,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
SEC_clean,Carhart,end_of_sample,0,1257,0.297990,0.025189,0.034199,11.830,0.000000,0.5402,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
