event_id,ticker,creator,recommendation_type,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,right_censored,available_trading_days,status,estimation_model
2,GOOGL,The Investor Channel,buy,21D,FF3,-0.046066,False,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,21D,FF5,-0.040066,False,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,21D,Carhart,-0.095466,False,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,42D,CAPM,-0.126772,False,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,42D,FF3,-0.220072,False,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,42D,FF5,-0.175572,False,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,42D,Carhart,-0.203572,False,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,63D,CAPM,-0.066753,False,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,63D,FF3,-0.134053,False,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,63D,FF5,-0.075253,False,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,63D,Carhart,-0.144553,False,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,126D,CAPM,-0.042846,False,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,126D,FF3,-0.032446,False,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,126D,FF5,0.042854,False,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,126D,Carhart,-0.124846,False,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,252D,CAPM,-0.109046,False,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,252D,FF3,-0.101546,False,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,252D,FF5,-0.041246,False,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,252D,Carhart,-0.261146,False,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,504D,CAPM,0.358578,False,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,504D,FF3,0.424178,False,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,504D,FF5,0.664678,False,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,504D,Carhart,0.222478,False,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,end_of_sample,CAPM,1.470155,False,False,True,True,False,646.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,end_of_sample,FF3,1.376055,False,False,True,True,False,646.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,end_of_sample,FF5,1.556055,False,False,True,True,False,646.0,computed,factor_basket_stress_test_not_beta_estimated
2,GOOGL,The Investor Channel,buy,end_of_sample,Carhart,1.070455,False,False,True,True,False,646.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,5D,CAPM,-0.016436,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,5D,FF3,-0.025736,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,5D,FF5,-0.031336,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,5D,Carhart,-0.023336,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,10D,CAPM,-0.033911,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,10D,FF3,-0.065411,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,10D,FF5,-0.071611,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,10D,Carhart,-0.053211,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,21D,CAPM,-0.054246,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,21D,FF3,-0.100346,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,21D,FF5,-0.118046,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,21D,Carhart,-0.072346,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,42D,CAPM,0.024362,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,42D,FF3,-0.001238,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,42D,FF5,-0.020638,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,42D,Carhart,-0.001738,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,63D,CAPM,0.001076,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,63D,FF3,0.000976,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,63D,FF5,-0.028824,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,63D,Carhart,-0.002424,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,126D,CAPM,0.087315,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,126D,FF3,-0.010385,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,126D,FF5,-0.002985,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,126D,Carhart,-0.025185,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,252D,CAPM,0.199310,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,252D,FF3,0.309710,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,252D,FF5,0.347910,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,252D,Carhart,0.177310,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,504D,CAPM,0.319491,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
