event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,prior_abs_ret_1d_z,prior_abs_ret_5d_z,prior_abs_ret_21d_z,prior_vol_z,prior_rvol_z,post_vol_5d_z,market_quiet,market_active_pre_event,official_confounded,news_confounded,unknown_news_market_quiet,unknown_news_market_active
1467,NFLX,NFLX,Couch Investor,2025-12-24,2025,buy,False,0.62,high,3,True,1592,-0.0020203006301480197,-0.043439829402553864,-0.16003980646855875,-0.27721849039528,-0.41815215688319185,0.019694107788660504,-0.1521719215532178,-0.48541321780320856,,0.008965168091455977,,0.008863753059212831,-0.017856356245806615,0.014310728475044892,-0.028299888329258782,-0.09347600336205697,0.012957674018497132,-0.08607430169937347,0.0767838011907831,0.02492211691044745,-0.0022426215916429015,0.0,-0.0178563562458066,-0.0934760033620569,0.0767838011907831,False,False,True,False,False,True,False,True,True,-0.6122595333757085,-0.026501865398692582,0.6956643615045232,-1.1620627625362427,-0.38124500468127803,-0.5215237064128536,False,False,False,False,False,False
1468,TSLA,TSLA,The Investor Channel,2024-07-23,2024,sell,True,0.62,high,3,True,1234,-0.018828240973005284,-0.020063473464797532,0.32924076565949,0.6227039965245089,0.02723968482529604,0.03861237140532289,-0.09139258499155622,-0.19004261496940955,,-0.10068345253658295,,-0.12334604589403697,-0.07516443581040155,0.06849695901437253,-0.09643643678360236,-0.1061496793299358,0.04598455467031701,-0.09379819852403826,-0.1688727710880743,0.03789263615308605,-0.11173795857497104,0.0,-0.0751644358104015,-0.1061496793299358,-0.1688727710880743,False,False,True,False,False,True,False,True,True,-0.016028465301532072,-0.44419271456867726,2.4489962269844305,-0.5912440336852689,0.9868104652435341,2.2673163949461395,False,True,False,False,False,True
1469,TSLA,TSLA,The Investor Channel,2024-07-23,2024,buy,True,0.62,high,3,True,1234,-0.018828240973005284,-0.020063473464797532,0.32924076565949,0.6227039965245089,0.02723968482529604,0.03861237140532289,-0.09139258499155622,-0.19004261496940955,,-0.10068345253658295,,-0.12334604589403697,-0.07516443581040155,0.06849695901437253,-0.09643643678360236,-0.1061496793299358,0.04598455467031701,-0.09379819852403826,-0.1688727710880743,0.03789263615308605,-0.11173795857497104,0.0,-0.0751644358104015,-0.1061496793299358,-0.1688727710880743,False,False,True,False,False,True,False,True,True,-0.016028465301532072,-0.44419271456867726,2.4489962269844305,-0.5912440336852689,0.9868104652435341,2.2673163949461395,False,True,False,False,False,True
1470,GOOGL,GOOGL,Jose Najarro Stocks,2026-01-28,2026,sell,False,0.67,high,3,True,1614,0.004464866784256394,0.008616127767919979,0.06436565609410927,0.23081687876603563,0.6182052744263264,0.010661593101026719,-0.041581097397303424,-0.22678123922563798,,0.008650787965977624,,0.006666405517007812,0.004433448109935734,0.01443694670922506,-0.008839067673904522,-0.058610342660910364,0.01546129127083898,-0.0721704654095916,0.01615787897562737,0.0179374520860388,0.042190181602927534,0.0,0.0044334481099357,-0.0586103426609103,0.0161578789756273,False,False,True,False,False,True,False,False,True,-0.5255430018251066,-0.6487349262633748,-0.29575162902154917,-0.6622432956174864,-1.0344223456878867,-0.5150275454970488,True,False,False,False,True,False
1471,META,META,Jose Najarro Stocks,2026-01-28,2026,sell,False,0.62,high,3,True,1614,-0.006199783924368929,0.07636547322658438,0.0007990225234919546,-0.12646224605223022,-0.1442269901037806,0.018147780292123647,-0.0928447966906849,-0.030772482717616456,,0.10603240466928598,,0.10404802222031617,0.013661385931081904,0.057877769557755934,0.0003888701472416489,-0.017169753723615178,0.029242804572428668,-0.030729876472296414,-0.024592377766841755,0.026949239605529828,0.001439924860458408,0.0,0.0136613859310819,-0.0171697537236151,-0.0245923777668417,False,False,True,False,False,True,False,True,True,-0.46399997642347973,0.5618165262679496,-0.9544559576115597,-0.28344639382653425,-0.49306614391464726,1.7207712467456822,True,False,False,False,True,False
1472,AMZN,AMZN,Daniel Pronk,2025-03-17,2025,sell,True,0.67,high,3,True,1396,-0.018875607578212716,-0.005551352952261723,-0.08048919988510006,-0.08670139553799106,0.02578551145307384,0.01737429089214681,-0.15835393714785628,-0.1484598944790707,,-0.004109291604845855,,-0.014917738259935254,0.02315423423218843,0.019144003437349285,0.038418252797762786,-0.03327398311353824,0.04099728482330938,-0.08250745224300837,0.03817230992704812,0.029162298482645236,0.10401553100529881,0.0,0.0231542342321884,-0.0332739831135382,0.0381723099270481,False,True,False,False,True,False,False,True,False,-0.014348221259859406,-0.703496600780808,-0.12867265235153955,-0.5108833091421545,-0.5490002627116376,-0.27276621024441605,True,False,False,True,False,False
1473,AMZN,AMZN,Daniel Pronk,2025-03-17,2025,buy,True,0.62,high,3,True,1396,-0.018875607578212716,-0.005551352952261723,-0.08048919988510006,-0.08670139553799106,0.02578551145307384,0.01737429089214681,-0.15835393714785628,-0.1484598944790707,,-0.004109291604845855,,-0.014917738259935254,0.02315423423218843,0.019144003437349285,0.038418252797762786,-0.03327398311353824,0.04099728482330938,-0.08250745224300837,0.03817230992704812,0.029162298482645236,0.10401553100529881,0.0,0.0231542342321884,-0.0332739831135382,0.0381723099270481,False,True,False,False,True,False,False,True,False,-0.014348221259859406,-0.703496600780808,-0.12867265235153955,-0.5108833091421545,-0.5490002627116376,-0.27276621024441605,True,False,False,True,False,False
1474,AMZN,AMZN,Daniel Pronk,2025-03-17,2025,buy,True,0.62,high,3,True,1396,-0.018875607578212716,-0.005551352952261723,-0.08048919988510006,-0.08670139553799106,0.02578551145307384,0.01737429089214681,-0.15835393714785628,-0.1484598944790707,,-0.004109291604845855,,-0.014917738259935254,0.02315423423218843,0.019144003437349285,0.038418252797762786,-0.03327398311353824,0.04099728482330938,-0.08250745224300837,0.03817230992704812,0.029162298482645236,0.10401553100529881,0.0,0.0231542342321884,-0.0332739831135382,0.0381723099270481,False,True,False,False,True,False,False,True,False,-0.014348221259859406,-0.703496600780808,-0.12867265235153955,-0.5108833091421545,-0.5490002627116376,-0.27276621024441605,True,False,False,True,False,False
1475,GOOGL,GOOGL,Daniel Pronk,2025-03-17,2025,sell,False,0.67,high,3,True,1396,-0.014962459456946853,-0.021245338795627622,-0.046534132748740076,-0.09502754305291283,0.043548848001543794,0.017334699930737444,-0.12459740323698132,-0.026769301587076355,,-0.01122571197594091,,-0.02203415863103031,0.0053702878421326705,0.01871838032991968,0.020634306407707026,0.0006609269605528656,0.03217530634441883,-0.048572542168917265,0.011422656899371164,0.02477525718092336,0.07726587797762186,0.0,0.0053702878421326,0.0006609269605528,0.0114226568993711,False,False,True,False,False,True,False,True,True,-0.1531600230798426,-0.42307503758970644,-0.4805294118484469,-0.2757100424687084,-0.5518632438188446,-0.29467204828205557,True,False,False,False,True,False
1476,GOOGL,GOOGL,Daniel Pronk,2025-03-17,2025,buy,False,0.62,high,3,True,1396,-0.014962459456946853,-0.021245338795627622,-0.046534132748740076,-0.09502754305291283,0.043548848001543794,0.017334699930737444,-0.12459740323698132,-0.026769301587076355,,-0.01122571197594091,,-0.02203415863103031,0.0053702878421326705,0.01871838032991968,0.020634306407707026,0.0006609269605528656,0.03217530634441883,-0.048572542168917265,0.011422656899371164,0.02477525718092336,0.07726587797762186,0.0,0.0053702878421326,0.0006609269605528,0.0114226568993711,False,False,True,False,False,True,False,True,True,-0.1531600230798426,-0.42307503758970644,-0.4805294118484469,-0.2757100424687084,-0.5518632438188446,-0.29467204828205557,True,False,False,False,True,False
