strategy,holding_days,cost_bps,signal_timing,trade_count,average_trade_return,median_trade_return,annualized_return_proxy,annualized_volatility_proxy,sharpe_proxy,max_drawdown_sequence,hit_rate,top5_event_share,ticker_concentration_top_share,years_spanned,status
short_non_top_buys_diagnostic,5,0,one_day_delay,802,-0.002020,-0.000889,-0.096875,0.385811,-0.251,-0.952987,0.490025,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,5,next_close,802,-0.002520,-0.001389,-0.119400,0.385811,-0.309,-0.968400,0.487531,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,5,one_day_delay,802,-0.003020,-0.001889,-0.141374,0.385811,-0.366,-0.978764,0.485037,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,10,next_close,802,-0.003520,-0.002389,-0.162810,0.385811,-0.422,-0.985731,0.483791,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,10,one_day_delay,802,-0.004020,-0.002889,-0.183722,0.385811,-0.476,-0.990415,0.478803,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,25,next_close,802,-0.006520,-0.005389,-0.280837,0.385811,-0.728,-0.998694,0.455112,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,25,one_day_delay,802,-0.007020,-0.005889,-0.298854,0.385811,-0.775,-0.999124,0.447631,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,50,next_close,802,-0.011520,-0.010389,-0.442315,0.385811,-1.146,-0.999976,0.405237,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,50,one_day_delay,802,-0.012020,-0.010889,-0.456357,0.385811,-1.183,-0.999984,0.396509,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,100,next_close,802,-0.021520,-0.020389,-0.665939,0.385811,-1.726,-1.000000,0.319202,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,5,100,one_day_delay,802,-0.022020,-0.020889,-0.674435,0.385811,-1.748,-1.000000,0.316708,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
long_buy_short_sell,5,0,next_close,2322,0.003123,-0.000174,0.170172,0.490599,0.347,-0.933062,0.498708,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,0,one_day_delay,2322,0.002623,-0.000674,0.141134,0.490599,0.288,-0.961851,0.489233,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,5,next_close,2322,0.002123,-0.001174,0.112803,0.490599,0.230,-0.982182,0.483204,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,5,one_day_delay,2322,0.001623,-0.001674,0.085162,0.490599,0.174,-0.991784,0.477606,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,10,next_close,2322,0.001123,-0.002174,0.058194,0.490599,0.119,-0.996830,0.470715,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
