event_id,ticker,company_name,event_date,window_pm1,window_pm3,window_pm5,filing_count_pm1,filing_count_pm3,filing_count_pm5,material_filing_flag_pm1,material_filing_flag_pm3,material_filing_flag_pm5,material_form_types,nearest_filing_date,nearest_form_type,sec_confounded_flag,sec_clean_flag,query_status,reason_codes
460,AMZN,Amazon,2024-08-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",13,14,14,False,False,False,,2024-08-23,4,False,True,ok,
461,AMZN,Amazon,2024-08-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",13,14,14,False,False,False,,2024-08-23,4,False,True,ok,
462,AMZN,Amazon,2024-08-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",13,14,14,False,False,False,,2024-08-23,4,False,True,ok,
463,GOOGL,Alphabet,2024-08-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,4,5,False,False,False,,2024-08-21,4,False,True,ok,
464,MSFT,Microsoft,2025-03-18,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,8,False,False,False,,2025-03-14,4,False,True,ok,
465,NVDA,Nvidia,2026-03-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,1,False,False,False,,2026-03-26,SCHEDULE 13G/A,False,True,ok,
466,NVDA,Nvidia,2024-01-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,1,False,False,False,,2024-01-26,SC 13G/A,False,True,ok,
467,TSLA,Tesla,2026-04-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,4,5,True,True,True,8-K,2026-04-01,4,True,False,ok,material_filing_pm5
468,GOOGL,Alphabet,2025-05-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,6,8,False,True,True,8-K,2025-05-09,4,True,False,ok,material_filing_pm5
469,NVDA,Nvidia,2024-08-29,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,3,4,True,True,True,10-Q;8-K,2024-08-30,144,True,False,ok,material_filing_pm5
470,AMD,,2025-10-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,2,3,False,True,True,8-K,2025-10-06,144,True,False,ok,material_filing_pm5
471,AMZN,Amazon,2024-05-11,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,6,10,False,True,True,8-K,2024-05-13,4,True,False,ok,material_filing_pm5
472,META,Meta,2025-11-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,6,7,False,False,False,,2025-11-26,4,False,True,ok,
473,AMZN,Amazon,2024-07-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,2,False,False,False,,2024-07-18,144,False,True,ok,
474,AMZN,Amazon,2024-07-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,2,False,False,False,,2024-07-18,144,False,True,ok,
475,AMZN,Amazon,2024-06-07,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,3,5,False,False,False,,2024-06-06,144,False,True,ok,
476,NVDA,Nvidia,2023-11-21,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,4,4,True,True,True,10-Q;8-K,2023-11-21,10-Q,True,False,ok,material_filing_pm5
477,NVDA,Nvidia,2023-11-21,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,4,4,True,True,True,10-Q;8-K,2023-11-21,10-Q,True,False,ok,material_filing_pm5
478,META,Meta,2022-02-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
479,META,Meta,2022-02-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
480,META,Meta,2022-02-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
481,META,Meta,2022-02-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
482,META,Meta,2022-02-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
483,DIS,Disney,2023-09-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-09-08,8-K,False,True,ok,
484,DIS,Disney,2023-09-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-09-08,8-K,False,True,ok,
485,DIS,Disney,2023-09-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-09-08,8-K,False,True,ok,
486,GOOGL,Alphabet,2026-03-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",9,10,12,False,False,False,,2026-03-27,4,False,True,ok,
487,TSLA,Tesla,2024-03-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,2,False,False,False,,2024-02-29,144,False,True,ok,
488,TSLA,Tesla,2024-03-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,2,False,False,False,,2024-02-29,144,False,True,ok,
489,AAPL,Apple,2024-03-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",9,10,11,False,True,True,8-K,2024-03-01,4,True,False,ok,material_filing_pm5
490,NFLX,Netflix,2024-03-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,17,17,False,False,False,,2024-03-01,144,False,True,ok,
491,CRM,,2024-07-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,5,14,False,False,False,,2024-07-26,4,False,True,ok,
492,GOOGL,Alphabet,2025-03-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,11,14,False,False,False,,2025-03-31,4,False,True,ok,
493,GOOGL,Alphabet,2022-05-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
