event_id,ticker,data_ticker,creator,title,published_at,event_timestamp_utc,event_timestamp_aligned_utc,event_timestamp_aligned_et,recommendation_type,direction,return_5m,return_15m,return_30m,return_60m,return_to_close,benchmark_return_5m,benchmark_return_15m,benchmark_return_30m,benchmark_return_60m,benchmark_return_to_close,abnormal_return_5m,abnormal_return_15m,abnormal_return_30m,abnormal_return_60m,abnormal_return_to_close,pre_event_return_60m,volume_change_30m,volume_change_60m,missing_intraday_data_flag,missing_intraday_data_reason,data_source
429,AMD,AMD,Financial Education,You will never get a chance like this again‼️,2026-05-07T00:46:31Z,2026-05-07T00:46:31Z,2026-05-07T13:30:00Z,2026-05-07T09:30:00-04:00,price_target,positive,0.013954,-0.005006,0.003193,0.012407,-0.012455,-0.000613,-0.001334,-0.001129,-0.000370,-0.005442,0.014567,-0.003672,0.004322,0.012776,-0.007013,0.001405,-0.958938,-0.969551,False,,yfinance_yahoo_intraday_prototype
79,AMD,AMD,Financial Education,"This stock could go to $1,000‼️",2026-04-22T23:46:55Z,2026-04-22T23:46:55Z,2026-04-23T13:30:00Z,2026-04-23T09:30:00-04:00,price_target,positive,0.007772,0.008982,-0.000795,0.014501,0.010457,0.000197,0.001254,-0.000049,0.001571,-0.002325,0.007575,0.007728,-0.000746,0.012930,0.012782,0.000846,-0.908273,-0.939387,False,,yfinance_yahoo_intraday_prototype
91,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22T01:54:55Z,2026-04-22T13:30:00Z,2026-04-22T09:30:00-04:00,buy,positive,-0.002504,-0.000457,0.004849,0.006598,0.014906,-0.000741,0.000268,0.001284,0.002003,0.002991,-0.001764,-0.000725,0.003566,0.004595,0.011915,-0.004235,-0.845957,-0.937062,False,,yfinance_yahoo_intraday_prototype
92,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22T01:54:55Z,2026-04-22T13:30:00Z,2026-04-22T09:30:00-04:00,buy,positive,-0.002504,-0.000457,0.004849,0.006598,0.014906,-0.000741,0.000268,0.001284,0.002003,0.002991,-0.001764,-0.000725,0.003566,0.004595,0.011915,-0.004235,-0.845957,-0.937062,False,,yfinance_yahoo_intraday_prototype
76,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15T23:33:10Z,2026-04-16T13:30:00Z,2026-04-16T09:30:00-04:00,price_target,positive,0.018179,0.003133,-0.004196,0.011206,0.050035,0.000174,-0.000111,-0.002494,-0.002180,0.001102,0.018005,0.003244,-0.001702,0.013386,0.048933,0.023877,-0.965723,-0.954941,False,,yfinance_yahoo_intraday_prototype
77,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15T23:33:10Z,2026-04-16T13:30:00Z,2026-04-16T09:30:00-04:00,price_target,positive,0.018179,0.003133,-0.004196,0.011206,0.050035,0.000174,-0.000111,-0.002494,-0.002180,0.001102,0.018005,0.003244,-0.001702,0.013386,0.048933,0.023877,-0.965723,-0.954941,False,,yfinance_yahoo_intraday_prototype
42,META,META,Kenan Grace,The TACO Trade | Trading Is EASY These Days,2026-04-09T18:42:37Z,2026-04-09T18:42:37Z,,,buy,positive,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
183,TSLA,TSLA,Graham Stephan,How I Bought A Tesla For $78,2026-04-05T16:00:41Z,2026-04-05T16:00:41Z,,,buy,positive,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
90,NVDA,NVDA,Kenan Grace,Learn How to Read Stock Charts Fast in 1 Video,2026-03-30T23:26:07Z,2026-03-30T23:26:07Z,,,buy,positive,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
521,AMZN,AMZN,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17T12:00:37Z,,,sell,negative,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
522,META,META,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17T12:00:37Z,,,sell,negative,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
128,SOFI,SOFI,STOCK UP! with LARRY JONES,Live Trade Session - Market Volatility,2026-02-27T22:13:56Z,2026-02-27T22:13:56Z,,,buy,positive,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
104,NVDA,NVDA,STOCK UP! with LARRY JONES,MARKET Sell-Off while We are Making MONEY💰‼️,2026-02-26T21:26:28Z,2026-02-26T21:26:28Z,,,sell,negative,,,,,,,,,,,,,,,,,,,True,no intraday data for this event_id,
